Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Boliger og personer efter boligstørrelse_01. Antal boliger_0-39 m2,Boliger og personer efter boligstørrelse_02. Antal boliger_40-79 m2,Boliger og personer efter boligstørrelse_03.Antal boliger_80-119 m2,Boliger og personer efter boligstørrelse_04. Antal boliger_120-159 m2,Boliger og personer efter boligstørrelse_05. Antal boliger_160-199 m2,Boliger og personer efter boligstørrelse_06. Antal boliger_200+ m2,Boliger og personer efter boligstørrelse_07. Antal boliger_Uoplyst areal,Boliger og personer efter boligstørrelse_08. Antal personer_0-39 m2,Boliger og personer efter boligstørrelse_09. Antal personer_40-79 m2,Boliger og personer efter boligstørrelse_10. Antal personer_80-119 m2,Boliger og personer efter boligstørrelse_11. Antal personer_120-159 m2,Boliger og personer efter boligstørrelse_12. Antal personer_160-199 m2,Boliger og personer efter boligstørrelse_13. Antal personer_200+ m2,Boliger og personer efter boligstørrelse_14. Antal_personer_Uoplyst areal
,101001,1,1,1,184,3988,2505,897,334,130,6,202,5938,5525,2448,1016,421,12
,101002,1,1,1,113,1969,1180,450,240,265,82,162,2945,2378,1133,647,962,151
,101003,1,1,1,464,2568,2686,1133,508,256,12,542,3802,5915,3112,1487,904,84
,101005,1,1,1,658,4028,2930,370,202,45,143,900,6079,6687,1074,679,201,234
,101006,1,1,1,320,3881,2189,623,68,13,11,354,6091,4938,1825,215,34,30
,101007,2,1,1,319,3733,2289,502,186,76,8,351,5719,5656,1544,626,347,22
,101008,2,1,1,662,5167,2928,586,113,17,21,743,8103,6917,1663,365,248,153
,101009,2,1,1,543,2021,4663,798,83,14,13,732,3389,12131,2499,295,68,74
,101010,2,1,1,83,2575,3117,1264,188,31,9,119,3990,6838,3668,613,96,127
,101011,3,1,1,385,2514,2758,1425,612,348,81,581,3951,5644,3643,1656,1119,3689
,101012,3,1,1,51,1037,1236,1011,378,406,9,60,1533,2611,2728,1047,1156,41
,101013,3,1,1,393,2317,2737,679,198,155,130,533,3549,5913,1930,469,546,275
