ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
101001,2,46,7986,0,0,10
101002,220,93,3884,7,0,95
101003,22,9,7303,268,1,24
101005,4,145,7883,196,0,148
101006,16,371,6589,98,1,30
101007,561,296,6230,3,1,22
101008,5,41,8983,412,0,53
101009,535,607,6860,101,18,14
101010,3,286,6884,81,4,9
101011,6,10,7676,310,3,118
101012,9,429,3676,1,0,13
101013,148,281,5890,152,11,127
101014,12,86,8118,509,4,100
101016,44,74,7282,16,0,136
101017,12,28,9851,1173,6,48
101018,598,142,5125,0,0,8
101019,1145,488,4258,115,3,15
101020,0,0,4808,101,2,22
101021,2,5,6458,1230,0,19
101022,3,0,3977,0,0,34
101023,4,2,4603,46,0,19
101024,2,0,4785,0,0,2
101025,5,0,7170,0,0,10
101027,4,8,8203,239,2,16
101028,497,248,4759,113,2,16
101029,128,416,2565,110,0,2
101030,1,0,7198,40,0,11
101031,619,259,1614,0,0,5
101032,0,42,2312,256,0,0
101033,396,619,3998,0,0,9
101034,863,231,4508,0,19,9
101035,576,237,4011,77,5,11
101036,1741,712,2728,100,0,13
101039,347,52,2942,0,0,0
101040,1106,140,1777,0,2,32
101041,726,340,6321,0,0,7
101042,849,302,4252,0,1,11
101043,85,110,6015,0,0,17
101044,511,307,3998,18,1,41
101046,324,313,2891,109,1,2
101047,255,91,2779,126,1,66
101048,227,223,4914,0,0,4
101049,0,0,4897,0,0,6
101050,1,0,5651,15,1,50
101051,371,46,6376,0,2,82
101052,0,0,4298,0,3,48
101053,4,223,4037,0,0,52
101054,2,30,2266,331,0,6
101055,25,74,6645,0,0,61
101056,1,38,5238,0,0,44
101057,1421,705,1553,1740,1,61
101058,0,25,7184,0,2,3
101059,174,24,4028,0,2,3
147001,75,13,5355,15,0,15
147002,38,2,5593,18,0,29
147003,52,12,7592,177,0,10
147004,216,322,6529,317,0,5
147005,220,117,7008,494,0,10
147006,254,51,6331,51,0,9
147007,115,94,6262,318,0,14
147008,2,0,5854,0,0,6
151001,593,49,2244,0,0,2
151002,576,131,3591,0,1,144
151003,607.16,724.22,47.58,16.18,10.47,0
151004,249,563,1133,0,0,2
151005,1452,339,159,0,1,70
151006,651,136,2989,96,0,102
151008,864,503,1068,0,0,76
151009,958.84,509.78,601.42,0.82,0.53,3
151010,437,549,252,0,0,5
153001,1158,284,398,0,0,6
153002,318,271,1692,39,0,10
153003,166,313,1571,0,0,78
153004,451,632,2837,0,0,3
153005,618.95,484.80,1673.50,2.07,0,3.63
