ValgstedId,Boligtype_Antal_personer_01. Stuehuse og parcelhuse,Boligtype_Antal_personer_02. Række- og kædehuse,Boligtype_Antal_personer_03. Flerfamiliehuse,Boligtype_Antal_personer_04. Kollegier,Boligtype_Antal_personer_05. Sommerhuse,Boligtype_Antal_personer_06. Øvrige boliger
101001,8,142,15374,0,0,38
101002,785,266,7107,7,0,213
101003,79,23,15316,287,1,140
101005,5,532,14657,413,0,247
101006,43,1134,12150,108,1,51
101007,1804,1015,11386,6,2,52
101008,17,125,17143,510,0,397
101009,1491,1922,15561,105,31,78
101010,13,1044,14144,116,7,127
101011,13,18,15981,437,3,3831
101012,33,1248,7784,62,0,49
101013,295,906,11458,230,24,302
101014,35,272,15453,721,6,227
101016,167,254,13761,18,0,358
101017,62,92,18615,1707,8,119
101018,1892,436,8937,0,0,16
101019,3671,1407,8102,131,6,41
101020,0,0,8972,134,2,40
101021,14,20,12287,1375,0,55
101022,9,0,8611,0,0,189
101023,11,5,9257,67,0,43
101024,7,0,9976,0,0,9
101025,14,0,14074,0,0,20
101027,22,21,15330,320,2,30
101028,1461,614,8294,124,5,180
101029,376,968,4632,142,0,2
101030,4,0,13532,60,0,137
101031,1877,724,2787,0,0,6
101032,0,121,6268,329,0,0
101033,1197,1632,7219,0,0,20
101034,2683,709,9192,0,47,17
101035,1566,704,7855,90,8,37
101036,5369,1818,5177,172,0,36
101039,1101,155,4974,0,0,0
101040,3628,389,3822,0,3,72
101041,2249,903,10992,0,0,30
101042,2777,967,8077,0,4,28
101043,301,320,11388,0,0,60
101044,1619,883,7934,27,1,96
101046,947,1037,5376,178,1,2
101047,743,244,5832,146,1,220
101048,750,729,9609,0,0,7
101049,0,0,10122,0,0,10
101050,1,0,11580,15,1,147
101051,823,152,10859,0,5,209
101052,0,0,9134,0,10,125
101053,14,680,8605,0,0,70
101054,5,51,3722,361,0,329
101055,78,267,15131,0,0,180
101056,5,137,10407,0,0,124
101057,4078,2094,3489,2127,1,85
101058,0,79,14970,0,3,8
101059,610,74,8215,0,2,6
147001,264,37,11510,36,0,70
147002,157,5,11558,29,0,111
147003,178,36,15307,195,0,23
147004,717,930,12576,344,0,9
147005,698,338,12619,553,0,77
147006,800,146,11081,74,0,37
147007,406,300,11528,363,0,487
147008,5,0,10693,0,0,8
151001,1652,142,4153,0,0,31
151002,1651,269,6129,0,1,181
151003,1661.60,1709.19,57.10,17.13,18.08,0
151004,738,1598,2102,0,0,3
151005,4082,796,226,0,4,75
151006,1891,282,5371,107,0,108
151008,2534,1217,1919,0,0,93
151009,2671.40,978.81,1022.90,0.87,0.92,20
151010,1235,1421,422,0,0,11
153001,3372,648,627,0,0,12
153002,875,552,2859,45,0,150
153003,445,699,2738,0,0,102
153004,1259,1269,5297,0,0,6
153005,1903.47,1184.04,4200.07,2.07,0,31.60
153006,1771.53,1101.96,3908.93,1.93,0,29.40
155001,3329,768,1061,0,3,120
155004,5273,2463,1064,0,143,270
157001,4297,829,2734,0,0,7
157002,2913,393,3273,0,0,11
157003,3862,538,2597,0,0,265
157004,2856,1126,3910,0,0,5
157005,4969,692,2226,0,0,6
157006,3116,761,4198,0,0,14
157007,1867,357,6352,3,0,31
157008,1860,188,4315,0,0,3
157009,3760,616,3114,35,1,7
157010,2161,547,3999,0,0,16
159001,2195.03,1375.62,3528.38,0,0,61.48
159002,1768,1132,5656,0,0,154
159003,3329,2952,1990,520,0,46
159004,2615,1155,6001,0,0,4
159005,2537,2124,5303,0,0,51
159006,2426,4014,987,896,0,32
159007,1976,530,2995,8,0,4
159008,1483,2401,2267,0,0,69
159009,1564.97,56.38,3043.62,0,0,11.52
161001,2096,865,396,0,0,11
161002,1382,126,1918,0,2,102
161003,1531,210,4040,0,0,120
161004,76,11,4193,0,0,26
161005,1714,236,8,0,27,11
161006,834,2299,820,0,0,74
163001,2083,1278,7066,196,1,32
163002,4856,3584,178,0,1,214
163003,1936,4057,3090,298,48,35
165001,1553,2974,30,1162,0,25
165002,2163,943,1543,0,0,14
165003,689,976,3328,0,0,21
165004,2,3632,1366,369,0,66
165005,0,5115,1757,0,0,3
167001,2052,719,2785,346,0,17
167002,1000,1129,2435,0,3,2
167003,1543,207,4019,286,0,15
167004,2487,789,2939,0,0,157
167005,4116,501,2610,0,0,73
167006,2988,746,3378,0,0,65
167007,5521,1254,1804,0,0,30
167008,983,2575,3907,0,0,46
169001,448,414,3538,0,0,3
169002,1958,879,1981,1,0,47
169004,2325,3264,279,0,0,126
169006,1096,864,5639,0,0,7
169007,1129,3041,2885,0,0,77
169008,344,1603,2566,0,0,24
169009,2100,338,17,0,53,74
169010,1953.65,824.32,1466.02,0,0.62,46.59
169012,3794,887,1100,0,12,11
169013,776,118,7,0,0,26
169014,1191.35,502.68,893.98,0,0.38,28.41
173001,927,642,4849,0,0,187
173002,936,1142,4055,432,0,44
173003,2373,1111,1945,1181,0,41
173004,2506,932,3671,0,0,24
173005,650,158,671,0,0,21
173006,5296,797,1027,0,6,24
173007,1395,2541,1455,0,0,13
173008,2048,3524,3033,23,0,29
173009,2215,1363,2889,34,0,4
175001,1995,542,1750,0,0,10
175002,1564,2342,1905,0,0,5
175003,2737,1116,3877,0,0,173
175004,580,287,4732,0,0,0
175005,1870,2752,3276,26,0,21
175006,3259,1996,1674,0,0,0
175007,0,0,2163,0,0,0
183001,1476,308,13,0,38,97
183002,1164,2792,0,0,0,0
183003,932,1034,3838,0,0,6
183004,0.98,58.61,5395.85,0,0,106.47
183005,1707.02,1334.39,2659.15,0,2,26.53
185001,5303,464,565,0,175,24
185002,6733,602,98,25,25,18
185003,2054,573,4036,0,0,11
185004,1849,534,3262,0,0,148
185005,2818,1942,593,0,12,82
185006,1218,431,9382,0,2,10
187001,1330,755,3901,0,3,56
187002,2280,1663,601,0,1,42
187003,2338,2112,1474,0,0,77
190001,4729,2044,2853,0,1,183
190002,3250,359,132,0,0,13
190003,2485,2326,194,1,0,5
190004,459,898,46,0,0,40
190005,2124,3187,263,0,21,0
190006,4123,2990,1366,0,73,107
190007,691,112,5868,0,2,20
201001,2028,1166,41,0,33,50
201002,2521,516,2209,0,0,7
201003,3024,1730,850,0,0,17
201004,4149,982,163,0,2,43
201005,3861,1926,240,0,1,74
210001,3332,2377,779,0,4,77
210002,2747,1038,594,0,8,107
210003,2482,725,1589,0,12,47
210004,1668,2017,1381,0,3,32
210005,3509,3874,2765,0,0,127
210007,1591,2331,435,0,0,4
210008,1070,16,9,0,0,79
210009,684,1599,1698,0,4,51
217001,1956.60,567.15,6715.92,0,4.61,211.34
217002,3430,2001,4700,190,0,88
217003,2739,526,4873,0,4,40
217004,3205,1744,553,0,24,85
217005,3612,655,394,0,404,101
217006,1179,29,44,0,69,37
217007,1295,103,63,0,252,23
217008,634,528,41,0,0,28
217009,2166,2252,490,0,10,25
217010,3293,433,1078,0,7,146
217011,3020,1576,2146,0,1,55
217012,589.40,170.85,2023.08,0,1.39,63.66
219001,2844,1028,5204,245,0,218
219002,3746,268,2268,0,2,64
219003,814,48,30,0,0,3
219004,863,649,25,0,1,11
219005,2072,139,48,0,131,19
219006,2805,1902,1663,0,0,13
219007,1380,342,61,83,184,27
219008,1090,21,34,0,0,3
219009,2273,542,1585,0,0,1
219010,2607,937,3636,4,0,94
219011,1755,270,42,0,0,16
219012,2999,827,294,0,7,28
219013,1194,253,53,0,0,34
219014,975,328,29,0,26,4
223001,2096,1081,2998,0,0,64
223002,2617,3022,893,0,0,12
223003,3308,650,646,14,6,16
223004,367,17,21,0,0,12
223005,3143,1287,2556,0,0,38
230001,3180,2101,1777,0,0,38
230003,3959,1051,1856,0,0,60
230004,1087,1671,2619,242,0,40
230005,4824,970,1738,0,46,114
230006,2611,163,799,0,0,16
230007,4809,654,2856,1,0,64
230008,2935,1474,1123,6,0,68
230009,2136,301,854,486,0,157
230010,4604,720,2200,218,0,100
240001,971,82,12,0,0,41
240002,4976,4171,1300,20,2,46
240003,4993.26,1121.54,403.68,0,1.99,55.68
240004,1009,854,85,0,0,20
240005,2601,830,78,0,5,46
240006,1049,127,0,0,341,14
240007,5677.07,807.54,662.58,5.26,41,39.52
240008,3470.12,2404.89,232.36,49.72,0,11.47
240009,1762.56,2226.02,553.38,0.01,0.01,154.32
250001,2528,800,4066,0,1,191
250002,3063,2147,973,0,1,36
250003,5513,647,512,0,0,37
250004,5904,1320,432,6,487,92
250005,4966,1090,504,11,1649,107
250006,5451,2134,501,0,24,30
253001,1283.93,1594.17,4266.05,0,1.92,28.28
253002,10863.70,4080.18,4703.82,0,10.01,213.55
253003,5543.37,1026.65,509.13,0,2.07,51.17
253004,5866,2386,788,0,6,81
253005,4806,2341,83,0,0,23
259001,4722,797,4056,0,15,349
259002,1770.32,393.88,4062.18,0,0,42.71
259003,3596.51,1139.86,2868.65,0,0,102.33
259004,3451,205,1066,0,1,48
259005,2730,1611,1638,0,0,53
259006,5109,2792,362,0,4,85
259007,3101.49,864.14,66.35,0,0,27.67
259008,2114.68,421.12,13.82,0,0,13.29
259009,2771,730,97,0,16,78
259010,1196,59,27,0,1,23
259011,3694,1353,1058,0,78,105
260001,7187,977,1067,0,299,43
260002,2712,250,152,0,823,3
260003,3123.30,682.74,57.30,0,149.56,134.02
260004,6031.70,1053.26,3039.70,9,345.44,124.98
260005,1725,646,88,0,646,15
265001,1087,273,3827,93,0,243
265002,3431,698,1680,25,0,46
265003,3292,1532,2727,214,0,271
265004,1579,354,2809,221,0,66
265005,2325,91,4036,867,2,188
265006,4565,2353,579,191,2,80
265007,2620,1691,54,21,0,5
