ValgstedId,Ejerforhold_Antal_boliger_01. Ejerbolig,Ejerforhold_Antal_boliger_02. Andelsbolig,Ejerforhold_Antal_boliger_03. Almennyttig bolig,Ejerforhold_Antal_boliger_04. Lejer i offentligt ejet,Ejerforhold_Antal_boliger_05. Privat lejerbolig,Ejerforhold_Antal_boliger_06. Øvrige beboede boliger
101001,1248,2823,1026,2,861,2084
101002,1097,1550,562,83,373,634
101003,1181,3492,254,4,676,2020
101005,1137,3335,1196,3,576,2129
101006,1276,2378,1354,78,591,1428
101007,1511,1769,2721,41,402,669
101008,895,3375,2622,41,848,1713
101009,2400,53,1715,0,424,3543
101010,1885,3485,206,2,636,1053
101011,1517,2162,112,41,1216,3075
101012,1155,976,0,1,706,1290
101013,1577,1436,825,69,948,1754
101014,1516,2189,421,495,986,3222
101016,1342,2358,1348,0,614,1890
101017,1646,4217,1961,92,1079,2123
101018,1698,2485,550,1,710,429
101019,2781,1202,529,34,568,910
101020,113,2219,1371,435,167,628
101021,744,2305,1645,393,675,1952
101022,431,1485,1113,31,257,697
101023,479,1862,651,1,546,1135
101024,177,3060,770,0,277,505
101025,732,3703,1245,6,720,779
101027,980,2782,2239,2,903,1566
101028,823,1253,2095,13,233,1218
101029,346,537,2030,1,50,257
101030,398,2719,1359,0,384,2390
101031,1070,320,197,2,443,465
101032,0,0,2594,0,0,16
101033,1073,1639,561,1,491,1257
101034,1664,932,2231,1,324,478
101035,1135,917,1917,516,264,168
101036,2242,659,1836,0,177,380
101039,678,1104,357,2,403,797
101040,1765,594,128,1,236,333
101041,2181,1624,1480,10,559,1540
101042,1828,1832,974,3,350,428
101043,1199,2340,537,0,662,1489
101044,1120,365,1758,80,377,1176
101046,729,1080,1278,8,323,222
101047,564,698,1141,114,238,563
101048,889,1591,552,0,321,2015
101049,336,3546,92,22,404,503
101050,817,2985,606,0,668,642
101051,1060,1525,3550,1,402,339
101052,499,2326,304,169,446,605
101053,582,2655,378,11,308,382
101054,170,431,1004,4,96,930
101055,1609,27,378,3,504,4284
101056,1461,1280,347,0,895,1338
101057,1957,379,1182,60,128,1775
101058,508,2303,1774,21,620,1988
101059,285,1647,1599,1,57,642
147001,1434,1664,694,12,726,943
147002,1866,1685,267,29,618,1215
147003,1381,2993,296,71,661,2441
147004,2176,1901,706,156,707,1743
147005,1341,699,1492,648,378,3291
147006,1431,1235,847,172,601,2410
147007,1444,1421,639,242,978,2079
147008,1109,2947,291,35,716,764
151001,632,0,2210,2,29,15
151002,874,104,3118,76,132,139
151003,622.39,0,719.46,0,18.08,45.68
151004,277,0,1636,0,15,19
151005,1725,115,69,1,73,38
151006,719,20,3030,36,25,144
151008,1378,152,757,2,126,96
151009,1175.61,44,758.54,1,31.92,63.32
151010,482,184,512,0,11,54
153001,1327,24,447,0,34,14
153002,554,112,1407,144,76,37
153003,365,0,1642,84,34,3
153004,714,0,3057,104,32,16
153005,854.10,0,1801.44,19.16,31.60,76.66
153006,794.90,0,1676.56,17.84,29.40,71.34
155001,1573,83,328,101,141,122
155004,2757,124,608,26,145,100
157001,2104,283,137,286,205,346
157002,1859,384,251,1,233,196
157003,1761,301,124,93,177,384
157004,1641,408,753,554,292,130
157005,2183,297,67,0,277,194
157006,2119,586,0,24,261,489
157007,1689,782,20,154,488,920
157008,1524,360,68,2,570,562
157009,2006,171,21,189,299,527
157010,1675,401,0,117,636,623
159001,1613.85,154.66,593.67,149.86,318.93,690.69
159002,1583,810,1067,99,256,636
159003,1504,122,1651,135,55,418
