Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Husstande efter bilrådighed_1. Husstande uden bil,Husstande efter bilrådighed_2. Husstande med 1 bil,Husstande efter bilrådighed_3. Husstande med 2 eller flere biler
,101001,1,1,1,5056,956,2032
,101002,1,1,1,2385,658,1256
,101003,1,1,1,4591,807,2229
,101005,1,1,1,5361,1057,1958
,101006,1,1,1,4349,954,1802
,101007,2,1,1,4173,856,2084
,101008,2,1,1,6431,1027,2036
,101009,2,1,1,5026,746,2363
,101010,2,1,1,3606,1022,2639
,101011,3,1,1,5368,916,1838
,101012,3,1,1,2045,518,1565
,101013,3,1,1,3936,836,1837
,101014,3,1,1,5367,1189,2273
,101016,4,1,1,4850,889,1813
,101017,4,1,1,7758,1183,2177
,101018,4,1,1,3423,800,1650
,101019,4,1,1,2787,788,2449
,101020,5,1,1,3658,451,824
,101021,5,1,1,5899,664,1151
,101022,5,1,1,2739,367,908
,101023,5,1,1,3315,438,921
,101024,5,1,1,3205,485,1099
,101025,5,1,1,5251,648,1286
,101027,6,1,1,6097,958,1417
,101028,6,1,1,3376,760,1499
,101029,6,1,1,1982,408,831
,101030,6,1,1,5211,799,1240
,101031,7,1,1,1090,376,1031
,101032,7,1,1,1497,236,877
,101033,7,1,1,2715,701,1606
,101034,7,1,1,2780,739,2111
,101035,7,1,1,2648,633,1636
,101036,7,1,1,2220,604,2470
,101039,7,1,1,1954,519,868
,101040,7,1,1,1106,366,1585
,101041,7,1,1,4195,1059,2140
,101042,8,1,1,2718,713,1984
,101043,8,1,1,3834,833,1560
,101044,8,1,1,2688,597,1591
,101046,8,1,1,1984,510,1146
,101047,8,1,1,1987,331,1000
,101048,8,1,1,3301,627,1440
,101049,9,1,1,3240,538,1125
,101050,9,1,1,3895,592,1231
,101051,9,1,1,4767,807,1303
,101052,9,1,1,2954,440,955
,101053,9,1,1,2691,419,1206
,101054,9,1,1,2095,251,289
,101055,9,1,1,3783,775,2247
,101056,1,1,1,2966,690,1665
,101057,2,1,1,3138,447,1896
,101058,5,1,1,5075,655,1484
,101059,6,1,1,2633,486,1112
,147001,10,1,1,2597,758,2118
,147002,10,1,1,2624,857,2199
,147003,10,1,1,4339,1037,2467
,147004,10,1,1,4119,997,2273
,147005,11,1,1,4719,1038,2092
,147006,11,1,1,3687,1049,1960
,147007,11,1,1,3810,963,2030
,147008,11,1,1,3431,891,1540
,151001,20,2,1,1099,450,1339
,151002,20,2,1,2068,802,1573
,151003,20,2,1,314.05,185.57,905.98
,151004,20,2,1,767,251,929
,151005,20,2,1,308,233,1480
,151006,20,2,1,1658,677,1639
,151008,20,2,1,606,392,1513
,151009,20,2,1,500.95,362.43,1211.02
,151010,20,2,1,247,206,790
,153001,18,2,1,320,275,1251
,153002,18,2,1,950,439,941
,153003,18,2,1,907,386,835
,153004,18,2,1,1716,609,1598
,153005,18,2,1,918.33,324.24,1540.39
,153006,18,2,1,854.67,301.76,1433.61
,155001,12,1,1,596,364,1388
,155004,12,1,1,628,600,2532
,157001,13,2,1,878,563,1920
,157002,13,2,1,977,525,1422
,157003,13,2,1,656,466,1718
,157004,13,2,1,1633,586,1559
,157005,13,2,1,704,444,1870
,157006,13,2,1,805,709,1965
,157007,13,2,1,1333,787,1933
,157008,13,2,1,961,701,1424
,157009,13,2,1,780,617,1816
,157010,13,2,1,1268,766,1418
,159001,15,2,1,1392.91,616.72,1512.02
,159002,15,2,1,1904,827,1720
,159003,15,2,1,1299,525,2061
,159004,15,2,1,1519,636,2087
,159005,15,2,1,1598,723,2123
,159006,15,2,1,1379,478,1953
,159007,15,2,1,1073,441,1155
,159008,15,2,1,992,461,1431
,159009,15,2,1,737.09,294.28,958.98
,161001,20,2,1,207,150,916
,161002,20,2,1,699,279,707
,161003,20,2,1,1269,589,1186
,161004,20,2,1,1189,455,788
,161005,20,2,1,63,81,610
,161006,20,2,1,494,284,997
