ValgstedId,Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr,Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.,Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.,Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.,Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.,Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst,Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.,Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-,Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst,Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt,Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum,Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum,Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr.
101001,238,453,1170,970,898,491202,1545,2356,954543,7928,2353964408,3988804022,17048022393,5111841751,6384137296,11991076898,298
101002,122,244,734,563,490,469505,763,1287,978451,4351,1813280147,2699214963,11894988966,3295543695,4722697344,8459877415,148
101003,260,388,1015,811,681,542786,1489,2583,1048512,7547,2551615423,4268893205,19258087754,5378265254,6952490708,13297605071,320
101005,274,596,1465,1005,937,438719,1571,1965,826698,8208,1974027178,3450403986,14272835400,4470922402,5024367038,9866109882,395
101006,225,422,1301,953,788,449840,1394,1819,848245,7164,1844543365,3177254429,13579478251,4123068245,5325063625,9704854820,262
101007,260,567,1497,996,798,401150,1221,1532,783983,7081,1750447556,2935331491,11803950314,3800526962,5135867475,9101790467,210
101008,419,650,1771,1392,1230,408813,1794,1868,741033,9550,2051988955,3618912982,11808528435,4781376601,4483632571,8549297847,426
101009,222,275,770,812,892,591789,2097,3073,978291,8590,2309827916,4291439632,11230349188,5745368418,4590873152,8120298791,449
101010,131,226,716,683,663,662139,1465,3186,1179644,7251,2725675120,4680806044,21215473525,6047389643,7326029253,13786719839,181
101011,277,378,981,787,748,545166,1484,2860,1066731,8024,3085311495,4955938012,19818014153,6088122661,7066758664,13629543865,509
101012,58,161,412,389,397,649124,732,1779,1268934,4072,2114427532,3255521416,14119034096,3973472965,5061829475,9904641156,144
101013,250,385,1033,762,624,495232,1182,2086,999402,6587,2315168510,3725308641,17258640405,4621700559,6626604635,12781170116,265
101014,280,439,1166,976,793,503994,1497,2805,1038410,8555,3552351411,5428184432,22270735389,6536892277,8586483739,15909743797,599
101016,219,454,1544,1020,1020,452643,1622,1958,827302,8081,1927099037,3406632537,11597301194,4508398746,4362707320,8131428199,244
101017,523,883,1849,1476,1431,409322,2227,1970,714146,10999,2230389452,4007318536,13283673341,5291963030,4889908163,9328926857,640
101018,168,379,938,889,853,441849,1217,1259,781056,5871,1399174567,2424093386,11211433291,3229325229,4386966181,7798832432,168
101019,159,266,776,676,617,560276,1093,2257,1117570,6037,2057338931,3521420988,16482404225,4482256373,5833957050,11632427523,193
101020,189,415,1151,615,576,381074,839,915,725786,4854,997268198,1761109492,5804117613,2328143358,2064274130,4058861248,154
101021,631,824,1360,918,845,344690,1294,1166,652464,7641,1451865709,2551810117,6717781265,3283500605,2652907235,4952453604,603
101022,99,229,591,549,484,478582,854,1041,850915,3991,1015949235,1780941315,7375472485,2345716649,2690110906,5050277666,144
101023,152,286,693,510,508,478366,895,1247,898923,4480,1170960787,2059243918,7759672988,2665901513,2798794045,5303233415,189
101024,169,311,730,583,640,467909,989,1175,836487,4737,1045081265,1931911962,6978464548,2590405201,2387007452,4593894134,140
101025,277,485,1255,999,959,428659,1463,1471,760776,7171,1524432928,2744559528,8653272677,3668793819,3086427562,5784176060,262
101027,388,731,1713,1246,1171,375221,1504,1194,646287,8348,1551454014,2775721894,7166843604,3709592508,2800296504,5074783493,401
101028,224,492,1382,808,575,368818,865,1120,748919,5618,1347392349,2220885812,8799686285,2874432229,4347576753,7170801238,152
101029,85,229,765,483,404,378239,544,527,678631,3160,689575675,1166473460,4284703650,1544549232,1925235517,3353726225,123
101030,274,589,1463,1112,1034,391382,1389,1059,655450,7158,1320141568,2400044463,5456834018,3260261118,1910728564,3606914946,238
101031,67,108,369,316,316,504475,444,809,1023662,2484,719477461,1260363582,6007365115,1639777378,2343000536,4517546851,55
101032,114,209,648,450,315,341898,483,257,585643,2623,417533734,768995015,990326799,1052343322,388736813,742157611,147
101033,146,324,856,634,658,463077,981,1322,871974,5041,1289275442,2243338577,9760999849,2950371640,4017092385,7152948032,120
101034,100,330,1023,739,638,474774,1048,1598,924211,5594,1518145488,2631181344,11459184335,3435741269,4920165755,8802304706,118
101035,144,488,1077,716,530,386779,801,1017,769788,4889,1156484136,1951139310,7665629565,2540794450,3388724481,5935414640,116
101036,84,316,1008,644,522,495503,827,1798,1036022,5269,1480459241,2653740493,12814056765,3427674058,4959169504,9675981185,70
101039,86,181,610,492,447,450287,693,760,797841,3342,830787513,1428085610,6198757427,1897397554,2609213402,4391261550,73
101040,30,87,321,326,299,671606,558,1401,1185007,3068,1005901877,1857932889,9710002773,2458993429,3218793710,6481908055,46
101041,196,470,1301,1112,994,441681,1450,1676,804361,7360,1872114574,3163841281,15000355480,4176182813,6438033861,11057019147,161
101042,108,254,906,726,589,500968,1031,1674,975835,5392,1668744934,2807150509,12366101059,3617726103,5041967520,8973714845,104
101043,149,332,974,898,864,461573,1319,1498,820559,6234,1531640388,2679790718,10259303635,3563900697,3817270800,6957859975,200
101044,114,308,1039,782,644,458229,1109,1412,852597,5532,1348429378,2389094597,6538651878,3167204504,2819082079,4959637150,124
101046,141,283,718,527,412,415170,703,784,783806,3666,832654793,1459224710,5216373067,1919843835,2296098971,3905643544,98
101047,123,201,672,455,355,437433,625,805,835770,3304,810949107,1413480352,4671492226,1851430244,1877663640,3425695908,68
101048,164,292,812,655,654,494272,1117,1524,897596,5339,1370262867,2443252487,7504247381,3228490650,3025087297,5405048115,121
101049,113,254,629,549,570,525850,1162,1438,905236,4855,1198027930,2202073518,8676981823,2962713638,2684173295,5349761465,140
101050,162,294,755,668,726,510259,1246,1643,899081,5676,1499763285,2653423573,10219820571,3506319320,3475964598,6731599672,182
101051,222,683,1821,1053,847,352414,1162,868,616576,6825,1220958333,2169346521,7168853180,2942525915,2797004896,5238083801,169
101052,93,171,531,442,472,562770,958,1466,987156,4303,1251258775,2218653407,9654466521,2909059463,3059159739,6297289254,170
101053,97,206,529,454,449,565050,932,1536,1029455,4314,1341817751,2338972039,9450899105,3049555961,3288731374,6408333828,111
101054,180,317,796,385,309,276421,359,183,500853,2703,406987144,714136883,1639276135,966495598,704316760,1288757121,174
101055,157,185,496,489,645,713144,1745,3539,1155538,7538,2641382723,4710587103,12288664445,6274575854,4986683571,8981570983,282
101056,135,223,609,464,496,639982,994,2317,1191336,5442,2260700871,3710442671,14041301502,4632989133,5226634918,9751263176,204
101057,457,515,708,464,388,406113,779,1644,957646,5573,1491047596,2584091036,9892230248,3115062090,4067681368,8204759197,618
101058,275,482,1213,1112,1019,424927,1573,1265,706968,7187,1392985235,2568451174,6336324708,3504329557,2236700549,4336866453,248
101059,121,308,977,655,616,392799,811,673,669582,4271,855635409,1506242148,4431070105,2040286074,1994257983,3254065955,110
147001,89,174,701,575,481,625896,1014,2271,1211132,5417,2296165008,3743717558,18372692441,4703591547,6058945379,12441698736,112
147002,91,182,673,614,532,614591,1128,2314,1182970,5671,2280754649,3758076608,20741356262,4766868232,6268459680,13372222825,137
147003,159,354,986,806,808,566152,1642,2718,1032513,7674,2462754604,4242529143,20030986140,5500439424,6725824336,13284196256,201
147004,165,319,1094,931,842,501839,1417,2203,969907,7209,2488767916,4000359685,19136661155,5070545299,7448310353,13369495602,238
147005,340,525,1625,1003,829,407682,1379,1732,795632,7734,2110288779,3435297552,14877523225,4370205041,6633107775,11666242847,301
147006,167,323,1472,993,812,427331,1196,1536,822147,6632,1942038525,3106673615,16470253799,4000905963,6691613422,12348042624,133
147007,165,351,1235,930,740,464491,1207,1945,929187,6779,2249219054,3594576112,17716317437,4536579721,6781607944,12888969798,206
147008,113,272,842,710,733,511830,1342,1627,889761,5763,1429019762,2591519126,13276238874,3485759921,3983784280,8167726341,124
151001,74,104,645,502,391,700106,478,625,1070819,2893,640102376,1120785288,4860170128,1510205076,2110473344,3824091243,74
151002,74,196,1283,844,571,381022,802,777,697604,4609,924057050,1627454397,6450406630,2231045633,2584014036,4820334816,62
151003,5.71,34.26,164.64,173.20,127.52,648302.20,253.14,635.71,1069425.36,1401.80,438763067.94,817092600.79,4369226193.63,1093330716.73,1506390698.11,2865273132.20,7.61
151004,68,96,503,305,225,405126,416,469,770740,2188,481869147,857451689,2615272666,1128015851,1241390952,2168224019,106
151005,12,52,177,181,161,826569,313,1115,1203158,2023,667168180,1282976518,8961127748,1750738513,2297999148,5025596456,12
151006,88,160,1002,726,520,388641,656,786,739956,4042,889886057,1530242770,6241504594,2055028189,2757534854,4760386497,104
151008,24,62,357,331,260,600761,454,1005,1131537,2519,802868310,1439703240,8472440739,1887272267,2927480257,5809002332,26
151009,21.29,65.74,294.36,231.80,190.48,627687.80,380.86,850.29,1263958.64,2066.20,725010444.06,1272882587.21,7312679109.37,1639286631.27,2502466917.89,5082086110.80,31.39
151010,8,32,140,123,123,670664,265,550,1127168,1258,379744038,710936466,3963850909,961370050,1440764702,2611971990,17
153001,9,41,242,211,173,693689,300,864,1077002,1845,500328835,991985891,5828788723,1354157845,1651583928,3511489574,5
153002,45,115,571,344,271,411423,445,478,763038,2308,527443469,918907824,3845267324,1225536504,1543988995,2841101574,39
153003,64,114,530,339,282,394158,370,413,735373,2164,451361155,799007619,3573007337,1075304094,1550393292,2855247870,52
153004,97,170,981,673,512,395828,662,764,744823,3912,865181717,1493038772,6222831704,2010500859,2626826991,4819853646,53
153005,31.60,97.89,509.66,427.31,316.99,255655.20,581.14,790.39,453385.80,2780.88,677030312.96,1237607449.76,5312918715.67,1671863008.56,2109163429.08,3928294251.74,25.90
153006,29.40,91.11,474.34,397.69,295.01,237933.80,540.86,735.61,421958.20,2588.12,630100216.04,1151819507.24,4944640094.33,1555973525.44,1962961342.92,3655994435.26,24.10
155001,13,75,366,291,226,611742,323,1018,1320010,2343,1006459597,1672505316,10251301977,2068955640,2912946248,6591741723,31
155004,24,89,406,391,350,691894,702,1761,1191332,3769,1342546399,2412812531,15700420961,3169910276,4121305262,9321946479,46
157001,47,118,401,338,270,1012776,485,1642,1964019,3368,2126094387,3280556807,17198824243,3913227327,5454908906,11910996998,67
157002,46,99,360,368,308,583024,529,1149,1220391,2912,1058655277,1812420264,11137201606,2315110372,3837619584,7803539695,53
157003,22,54,281,242,201,859840,427,1553,1803516,2825,1912293734,2984608414,14858695391,3611898287,4280233883,9689103138,45
157004,90,211,810,498,363,446383,572,1142,1028813,3797,1226555598,2005459552,10616575271,2509507982,4387285495,8464473848,111
157005,36,82,236,256,229,822248,474,1637,1587548,3010,1553429224,2636978098,14814021843,3307635714,4163073763,9494517769,60
157006,36,72,372,305,240,796105,559,1808,1914032,3467,2901758071,4185435703,19525711729,4891108001,5700657924,12593414740,75
157007,67,134,482,421,315,654342,703,1771,1463208,4011,2522465317,3705986016,17964470039,4394661150,5712033062,11996062769,118
157008,52,99,389,388,274,603539,528,1247,1280114,3049,1632957284,2446397877,13068569303,2965429343,4270310557,8829750130,72
157009,65,110,364,278,231,762376,450,1624,1879396,3211,2605296120,3775123586,16613696153,4374365840,5145518982,11340163084,89
157010,69,131,546,440,313,540678,596,1230,1237486,3404,1981686459,2806352257,14259168168,3335217973,5347387569,10056963004,79
159001,65.32,130.65,616.72,508.17,372.72,485246.61,620.56,1173.88,1030389.19,3546.63,1280882101.87,2072026726.74,10814807713.53,2616441742.36,4445475870.49,8002640424.75,58.60
159002,96,227,936,620,570,448164,833,1181,868580,4587,1203185616,2055573632,10064039015,2687414740,3965843319,7379960109,124
159003,91,144,728,444,393,509019,649,1286,998974,3823,1051077991,1893690923,8876810183,2462088115,3547983000,6732844693,88
159004,77,141,795,618,491,487013,746,1311,983380,4239,1245191835,2133484289,10198513814,2773340536,4571231986,7925868661,60
159005,54,134,834,594,517,499285,839,1343,926978,4371,1120759272,2031161788,8597029641,2710980994,3136013371,5985587459,56
159006,189,175,445,378,265,540409,480,1492,1150821,3789,1227176659,2185342249,11674673785,2667554859,4206810812,8998101424,365
159007,57,105,475,332,244,515937,494,872,1045425,2652,811385521,1398445448,7412307228,1792916053,2974733937,5644237645,73
159008,30,95,508,392,337,505482,527,922,995932,2854,797630956,1413155307,7090115245,1861327194,2615321875,5092152304,43
159009,35.68,81.35,375.28,284.83,240.28,492215.39,356.44,583.12,979023.81,1986.37,598949348.13,1001330852.26,4462323043.47,1295503066.64,2186293199.51,3593724140.25,29.40
161001,7,24,121,122,106,757300,244,646,1179748,1279,404771617,778199233,4301167338,1061563387,1281859753,2643012492,9
161002,35,77,321,243,198,461079,281,473,929104,1664,457192085,784279027,3878537692,1021010929,1425091140,2850690960,36
161003,55,150,641,491,441,434257,585,685,780022,3102,681847524,1219331748,4959007867,1654983260,1836843056,3456727494,54
161004,57,137,692,513,328,353710,372,294,585504,2436,413187249,740578332,2399806316,1040442895,855087406,1702574297,43
161005,2,11,39,56,48,903830,129,448,1325145,737,266098100,508974194,3831550423,708950502,890680470,1896224636,4
161006,18,65,319,228,235,527642,346,622,953936,1863,502491353,908478435,3941123968,1209090708,1501658166,2865253147,30
163001,103,245,1196,881,667,425873,1020,1201,786686,5418,1187815372,2121693634,8404515498,2865895816,3427086228,6152412127,105
163002,13,69,363,443,331,697300,694,1648,1110406,3569,1054563143,2021966023,13111352658,2756951891,3665976652,7802872480,8
163003,140,257,847,651,495,432328,803,1140,837568,4524,1129477831,1958967864,8161259687,2549456027,3706496160,6473588017,191
165001,204,233,415,300,258,398657,456,714,854529,2858,694893564,1205371928,6348923796,1498320598,2489295411,5358815853,278
165002,22,63,288,284,239,531954,416,654,967017,1984,515945132,950247463,5317331443,1284596809,1809907387,3590155831,18
165003,37,110,708,379,229,369567,356,489,763873,2333,529220013,902681997,3186972865,1198803375,1522015894,2582988839,25
165004,75,119,569,422,335,382003,470,388,669512,2524,468034050,851171309,1993582649,1154013608,790999909,1568340289,146
165005,14,50,349,326,318,589197,596,953,967417,2612,651607074,1256029295,6354889874,1744536247,1934231834,3997582616,6
167001,129,182,437,386,334,451225,496,832,937761,2976,774991722,1353284020,7128959570,1723384996,2678935201,5225935709,180
167002,37,124,456,271,285,462988,420,588,862566,2219,524322068,946513330,4719150949,1260393725,1782039382,3333783436,38
167003,100,180,708,467,321,382345,460,657,781085,3032,698644652,1193306570,4811975093,1554642193,2079151887,3818788707,139
167004,38,110,578,442,320,472783,451,905,991712,2868,776602159,1381073801,6465603072,1811803410,2445560897,4830384613,24
167005,22,104,355,383,328,609223,600,1206,1064590,3024,848874020,1601258799,9289824972,2156871690,2709101381,5750169672,26
167006,50,126,772,490,356,451640,525,973,952839,3314,932990703,1594729527,8137151976,2073520486,3325908143,6392341988,22
167007,18,78,431,357,301,667922,618,1451,1067067,3274,911388113,1764008532,10310154716,2399996571,2943352257,6358075753,20
167008,46,123,580,483,476,471427,728,794,811664,3308,717206420,1330393082,4747041119,1827303404,1839243556,3388137793,78
169001,55,134,353,371,274,409783,394,327,701262,1949,377635290,686866365,2284848988,945182160,896572513,1536073287,41
169002,28,89,361,302,264,497903,387,670,953132,2122,581755736,1028818625,5194739126,1362167234,1880327179,3676882626,21
169004,11,61,316,301,273,597993,456,949,1033765,2374,692187957,1274698020,7780269172,1714800174,2202590914,4764780091,7
169006,40,163,572,471,365,471828,657,794,848812,3096,756614280,1344072629,5502233728,1804104728,2244713680,4039127362,34
169007,48,142,658,507,445,470675,698,910,846109,3436,779925726,1443186062,8245183664,1961860577,2504626792,5298862613,28
169008,36,82,548,407,356,421417,483,435,727884,2390,483033732,875584430,3238089663,1210883125,1302914853,2365784120,43
169009,6,29,111,71,73,785555,169,514,1239982,983,327645586,617356339,3969837847,829396838,1076637824,2304650013,10
169010,32.30,65.85,293.82,239.78,204.99,341472.80,412.47,640.45,585846.78,1917.00,495072369.98,917470058.63,4197164278.05,1234008478.45,1469268911.08,2949976472.80,27.33
169012,7,62,274,253,262,650310,438,999,1037859,2306,644179116,1233010135,6521217758,1681363664,1828655014,3882480811,11
169013,2,6,16,32,9,906390,57,218,1257415,343,127821596,238997559,1350622366,333654168,370584476,802951351,3
169014,19.70,40.15,179.18,146.22,125.01,208231.20,251.53,390.55,357251.22,1169.00,301896698.02,559476145.37,2559444059.95,752502275.55,895964831.92,1798904989.20,16.67
173001,98,179,581,528,421,461119,697,946,888803,3584,1123275909,1806310541,9383789229,2303521779,3513417103,6792004864,134
173002,123,205,816,526,309,356376,538,712,755492,3522,991385492,1537283731,6361149448,1910612491,3306625614,5237698766,293
173003,297,253,517,340,274,347354,367,936,982060,3502,1280659705,1896215288,8614846090,2193151504,4346304709,7600673117,518
173004,39,114,471,437,379,572166,649,1276,1218150,3408,1355990549,2213915905,12568708826,2799140215,4349585789,8670508899,43
173005,5,22,60,55,56,730767,130,323,1711996,662,511380798,732052193,3550955702,869063274,1012849701,2250230910,11
173006,15,33,201,211,196,1041441,344,1712,1815956,2736,1733741557,2875895836,16093149481,3615946720,4371357693,9804517214,24
173007,28,63,245,187,180,780104,333,1150,1451352,2221,983729390,1718398021,10694739637,2180563514,3201638679,7180622577,35
173008,41,130,565,511,407,1389867,738,1612,2449880,4073,1456161135,2475551734,15020869112,3232687508,4966163488,9770032192,69
