Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Kriminalitet C. Retsafgørelser_1. Skyldig
;101001;1;1;1;328
;101002;1;1;1;218
;101003;1;1;1;311
;101005;1;1;1;379
;101006;1;1;1;324
;101007;2;1;1;537
;101008;2;1;1;742
;101009;2;1;1;646
;101010;2;1;1;309
;101011;3;1;1;1686
;101012;3;1;1;195
;101013;3;1;1;382
;101014;3;1;1;403
;101016;4;1;1;461
;101017;4;1;1;662
;101018;4;1;1;297
;101019;4;1;1;311
;101020;5;1;1;268
;101021;5;1;1;422
;101022;5;1;1;331
;101023;5;1;1;210
;101024;5;1;1;260
;101025;5;1;1;402
;101027;6;1;1;527
;101028;6;1;1;344
;101029;6;1;1;203
;101030;6;1;1;534
;101031;7;1;1;147
;101032;7;1;1;446
;101033;7;1;1;255
;101034;7;1;1;379
;101035;7;1;1;469
;101036;7;1;1;346
;101039;7;1;1;146
;101040;7;1;1;148
;101041;7;1;1;428
;101042;8;1;1;325
;101043;8;1;1;332
;101044;8;1;1;444
;101046;8;1;1;397
;101047;8;1;1;222
;101048;8;1;1;334
;101049;9;1;1;198
;101050;9;1;1;331
;101051;9;1;1;550
;101052;9;1;1;290
;101053;9;1;1;272
;101054;9;1;1;163
;101055;9;1;1;455
;101056;1;1;1;207
;101057;2;1;1;351
;101058;5;1;1;602
;101059;6;1;1;399
;147001;10;1;1;277
;147002;10;1;1;240
;147003;10;1;1;261
;147004;10;1;1;306
;147005;11;1;1;514
;147006;11;1;1;316
;147007;11;1;1;409
;147008;11;1;1;224
;151001;20;2;1;208
;151002;20;2;1;357
;151003;20;2;1;78,99
;151004;20;2;1;245
;151005;20;2;1;113
;151006;20;2;1;230
;151008;20;2;1;122
;151009;20;2;1;95,01
;151010;20;2;1;90
;153001;18;2;1;164
;153002;18;2;1;277
;153003;18;2;1;150
;153004;18;2;1;339
;153005;18;2;1;452,69
;153006;18;2;1;421,31
;155001;12;1;1;141
;155004;12;1;1;230
;157001;13;2;1;202
;157002;13;2;1;121
;157003;13;2;1;216
;157004;13;2;1;266
;157005;13;2;1;190
;157006;13;2;1;193
;157007;13;2;1;229
;157008;13;2;1;166
;157009;13;2;1;246
;157010;13;2;1;160
;159001;15;2;1;197,89
;159002;15;2;1;287
;159003;15;2;1;319
;159004;15;2;1;369
;159005;15;2;1;364
;159006;15;2;1;177
;159007;15;2;1;156
;159008;15;2;1;149
;159009;15;2;1;222,11
;161001;20;2;1;90
;161002;20;2;1;149
;161003;20;2;1;204
;161004;20;2;1;179
;161005;20;2;1;44
;161006;20;2;1;145
;163001;16;2;1;406
;163002;16;2;1;185
;163003;16;2;1;343
