Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Kriminalitet C. Retsafgørelser_2. Ikke skyldig
;101001;1;1;1;23
;101002;1;1;1;12
;101003;1;1;1;23
;101005;1;1;1;31
;101006;1;1;1;23
;101007;2;1;1;46
;101008;2;1;1;78
;101009;2;1;1;76
;101010;2;1;1;17
;101011;3;1;1;216
;101012;3;1;1;10
;101013;3;1;1;32
;101014;3;1;1;27
;101016;4;1;1;36
;101017;4;1;1;52
;101018;4;1;1;23
;101019;4;1;1;26
;101020;5;1;1;23
;101021;5;1;1;38
;101022;5;1;1;27
;101023;5;1;1;15
;101024;5;1;1;36
;101025;5;1;1;32
;101027;6;1;1;75
;101028;6;1;1;34
;101029;6;1;1;27
;101030;6;1;1;54
;101031;7;1;1;8
;101032;7;1;1;42
;101033;7;1;1;12
;101034;7;1;1;49
;101035;7;1;1;51
;101036;7;1;1;44
;101039;7;1;1;8
;101040;7;1;1;12
;101041;7;1;1;53
;101042;8;1;1;20
;101043;8;1;1;27
;101044;8;1;1;43
;101046;8;1;1;32
;101047;8;1;1;19
;101048;8;1;1;25
;101049;9;1;1;17
;101050;9;1;1;22
;101051;9;1;1;46
;101052;9;1;1;23
;101053;9;1;1;23
;101054;9;1;1;16
;101055;9;1;1;25
;101056;1;1;1;16
;101057;2;1;1;35
;101058;5;1;1;52
;101059;6;1;1;51
;147001;10;1;1;15
;147002;10;1;1;12
;147003;10;1;1;23
;147004;10;1;1;17
;147005;11;1;1;78
;147006;11;1;1;27
;147007;11;1;1;43
;147008;11;1;1;13
;151001;20;2;1;18
;151002;20;2;1;33
;151003;20;2;1;5,71
;151004;20;2;1;30
;151005;20;2;1;5
;151006;20;2;1;26
;151008;20;2;1;10
;151009;20;2;1;11,29
;151010;20;2;1;6
;153001;18;2;1;13
;153002;18;2;1;28
;153003;18;2;1;17
;153004;18;2;1;34
;153005;18;2;1;36,26
;153006;18;2;1;33,74
;155001;12;1;1;25
;155004;12;1;1;19
;157001;13;2;1;23
;157002;13;2;1;15
;157003;13;2;1;26
;157004;13;2;1;20
;157005;13;2;1;13
;157006;13;2;1;6
;157007;13;2;1;18
;157008;13;2;1;7
;157009;13;2;1;16
;157010;13;2;1;8
;159001;15;2;1;21,13
;159002;15;2;1;32
;159003;15;2;1;18
;159004;15;2;1;33
;159005;15;2;1;37
;159006;15;2;1;6
;159007;15;2;1;9
;159008;15;2;1;15
;159009;15;2;1;17,87
;161001;20;2;1;5
;161002;20;2;1;16
;161003;20;2;1;11
;161004;20;2;1;21
;161005;20;2;1;1
;161006;20;2;1;19
;163001;16;2;1;36
;163002;16;2;1;11
;163003;16;2;1;29
;165001;19;2;1;18
;165002;19;2;1;14
;165003;19;2;1;15
;165004;19;2;1;34
;165005;19;2;1;33
;167001;17;2;1;7
;167002;17;2;1;10
;167003;17;2;1;18
;167004;17;2;1;14
;167005;17;2;1;13
;167006;17;2;1;17
;167007;17;2;1;29
;167008;17;2;1;51
;169001;19;2;1;26
;169002;19;2;1;21
;169004;19;2;1;35
;169006;19;2;1;41
;169007;19;2;1;27
;169008;19;2;1;17
;169009;19;2;1;4
;169010;19;2;1;16,77
;169012;19;2;1;12
;169013;19;2;1;-
;169014;19;2;1;10,23
;173001;14;2;1;15
;173002;14;2;1;30
;173003;14;2;1;15
;173004;14;2;1;2
;173005;14;2;1;2
;173006;14;2;1;8
;173007;14;2;1;6
;173008;14;2;1;6
;173009;14;2;1;16
;175001;16;2;1;13
;175002;16;2;1;21
;175003;16;2;1;27
;175004;16;2;1;28
;175005;16;2;1;23
;175006;16;2;1;22
;175007;16;2;1;10
;183001;18;2;1;11
;183002;18;2;1;15
;183003;18;2;1;22
;183004;18;2;1;41,03
;183005;18;2;1;19,97
;185001;12;1;1;18
;185002;12;1;1;9
;185003;12;1;1;19
;185004;12;1;1;30
;185005;12;1;1;21
;185006;12;1;1;30
;187001;18;2;1;24
;187002;18;2;1;5
;187003;18;2;1;14
;190001;25;3;1;22
;190002;25;3;1;6
;190003;25;3;1;5
;190004;25;3;1;6
;190005;25;3;1;8
;190006;25;3;1;10
;190007;25;3;1;28
;201001;26;3;1;3
;201002;26;3;1;7
;201003;26;3;1;4
;201004;26;3;1;12
;201005;26;3;1;16
;210001;22;3;1;15
;210002;22;3;1;4
;210003;22;3;1;12
;210004;22;3;1;13
;210005;22;3;1;33
;210007;22;3;1;15
;210008;22;3;1;-
;210009;22;3;1;9
;217001;21;3;1;32,28
;217002;21;3;1;46
;217003;21;3;1;37
;217004;21;3;1;16
;217005;21;3;1;14
;217006;21;3;1;3
;217007;21;3;1;5
;217008;21;3;1;3
;217009;21;3;1;17
;217010;21;3;1;5
;217011;21;3;1;17
;217012;21;3;1;9,72
;219001;23;3;1;27
;219002;23;3;1;17
;219003;23;3;1;2
;219004;23;3;1;-
;219005;23;3;1;4
;219006;23;3;1;10
;219007;23;3;1;6
;219008;23;3;1;2
;219009;23;3;1;3
;219010;23;3;1;20
;219011;23;3;1;7
;219012;23;3;1;11
;219013;23;3;1;4
;219014;23;3;1;4
;223001;22;3;1;18
;223002;22;3;1;9
;223003;22;3;1;12
;223004;22;3;1;-
;223005;22;3;1;13
;230001;26;3;1;17
;230003;26;3;1;10
;230004;26;3;1;14
;230005;26;3;1;12
;230006;26;3;1;6
;230007;26;3;1;30
;230008;26;3;1;13
;230009;26;3;1;4
;230010;26;3;1;11
;240001;25;3;1;3
;240002;25;3;1;23
;240003;25;3;1;9,94
;240004;25;3;1;3
;240005;25;3;1;2
;240006;25;3;1;1
;240007;25;3;1;10,74
;240008;25;3;1;16,26
;240009;25;3;1;13,06
;250001;24;3;1;29
;250002;24;3;1;19
;250003;24;3;1;7
;250004;24;3;1;24
;250005;24;3;1;28
;250006;24;3;1;15
;253001;35;5;2;30,20
;253002;35;5;2;54,14
;253003;35;5;2;11,65
;253004;35;5;2;11
;253005;35;5;2;11
;259001;34;5;2;30
;259002;34;5;2;30,08
;259003;34;5;2;19,61
;259004;34;5;2;15
;259005;34;5;2;14
;259006;34;5;2;23
;259007;34;5;2;6,39
;259008;34;5;2;2,92
;259009;34;5;2;10
;259010;34;5;2;5
;259011;34;5;2;9
;260001;24;3;1;27
;260002;24;3;1;8
;260003;24;3;1;15,54
;260004;24;3;1;34,46
;260005;24;3;1;4
;265001;36;5;2;19
;265002;36;5;2;4
;265003;36;5;2;21
;265004;36;5;2;12
;265005;36;5;2;16
;265006;36;5;2;12
;265007;36;5;2;-
;265008;36;5;2;2
;265009;36;5;2;3
;265010;36;5;2;22
;265011;36;5;2;4
;265013;36;5;2;8
;265014;36;5;2;10
;265015;36;5;2;3
;265016;36;5;2;3
;265017;36;5;2;6
;265018;36;5;2;1
;265021;36;5;2;12
;269001;35;5;2;9
;269004;35;5;2;14
;269005;35;5;2;22
