ValgstedId,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_1. Dansk oprindelse,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_2. Indvandrere,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_3. Efterkommere
101001,337,47,28
101002,132,28,13
101003,262,33,16
101005,173,47,28
101006,187,56,37
101007,264,143,105
101008,272,110,54
101009,234,117,66
101010,184,37,17
101011,556,172,179
101012,132,12,7
101013,243,17,11
101014,291,36,6
101016,199,52,30
101017,300,105,55
101018,162,39,16
101019,169,38,19
101020,179,88,64
101021,248,140,119
101022,104,58,62
101023,104,23,9
101024,111,35,46
101025,151,68,32
101027,323,234,160
101028,129,85,47
101029,110,51,29
101030,203,104,49
101031,65,11,15
101032,39,146,93
101033,140,31,18
101034,152,71,46
101035,120,124,68
101036,140,90,42
101039,78,22,10
101040,106,22,9
101041,192,71,33
101042,185,46,24
101043,162,32,26
101044,129,105,57
101046,117,60,61
101047,99,56,29
101048,160,36,29
101049,131,27,12
101050,168,44,23
101051,223,91,51
101052,144,37,12
101053,139,37,27
101054,60,23,18
101055,200,63,27
101056,0,0,0
101057,0,0,0
101058,0,0,0
101059,0,0,0
147001,164,33,16
147002,168,22,11
147003,175,25,9
147004,155,52,28
147005,186,90,48
147006,135,54,22
147007,206,45,27
147008,125,19,13
151001,84,44,33
151002,158,52,28
151003,46.63,2.85,7.61
151004,100,37,18
151005,46,6,4
151006,104,41,24
151008,77,13,8
151009,54.37,8.15,1.39
151010,45,9,7
153001,99,23,9
153002,114,27,28
153003,88,19,20
153004,116,57,46
153005,73.03,130.01,99.96
153006,67.97,120.99,93.04
155001,78,10,2
155004,133,22,5
157001,138,26,4
157002,90,15,5
157003,158,27,8
157004,142,54,12
157005,140,25,6
157006,170,11,3
157007,184,21,3
157008,126,20,1
157009,176,23,9
157010,118,17,2
159001,114.31,24.98,9.61
159002,146,29,18
159003,162,41,18
159004,128,80,44
159005,149,61,46
159006,107,22,9
159007,95,21,6
159008,96,23,7
159009,59.69,55.02,34.39
161001,46,17,7
161002,89,27,19
161003,114,37,16
161004,61,40,20
161005,27,10,1
161006,69,15,15
163001,147,87,59
163002,118,31,25
163003,166,58,46
165001,94,29,19
165002,65,37,26
165003,58,70,38
165004,102,86,47
165005,75,67,69
167001,75,30,13
167002,70,18,20
167003,99,27,17
167004,133,25,15
167005,90,27,14
167006,103,28,18
167007,94,56,47
167008,129,67,59
169001,42,75,60
169002,80,44,19
169004,94,45,34
169006,80,125,67
169007,123,42,34
169008,64,44,23
169009,45,15,2
169010,72.06,46.59,26.09
169012,110,17,5
169013,19,4,1
