ValgstedId,Medlemsskab af folkekirken fordelt på afstemningsområder_Ikke medlem af folkekirken,Medlemsskab af folkekirken fordelt på afstemningsområder_Medlem af folkekirken
101001,6318,9244
101002,3376,5002
101003,6471,9375
101005,7336,8518
101006,5821,7666
101007,6477,7788
101008,8385,9807
101009,10460,8728
101010,6417,9034
101011,9981,10302
101012,3810,5366
101013,5930,7285
101014,7056,9658
101016,6165,8393
101017,9428,11175
101018,4273,7008
101019,5380,7978
101020,4455,4693
101021,6649,7102
101022,5165,3644
101023,4319,5064
101024,4946,5046
101025,6910,7198
101027,8723,7002
101028,5042,5636
101029,3253,2867
101030,7127,6606
101031,2031,3363
101032,5781,937
101033,3826,6242
101034,6223,6425
101035,5847,4413
101036,5947,6625
101039,2378,3852
101040,3120,4794
101041,5670,8504
101042,4729,7124
101043,4908,7161
101044,5402,5158
101046,3677,3864
101047,3657,3529
101048,4894,6201
101049,4637,5495
101050,5511,6233
101051,6100,5948
101052,4496,4773
101053,4630,4739
101054,2252,2216
101055,8052,7604
101056,4369,6304
101057,5864,6010
101058,9004,6056
101059,5502,3405
147001,5060,6857
147002,4582,7278
147003,6388,9351
147004,6030,8546
147005,5898,8387
147006,4532,7606
147007,4938,8146
147008,3938,6768
151001,2373,3605
151002,3141,5090
151003,946.90,2516.20
151004,1618,2823
151005,1406,3777
151006,2753,5006
151008,1661,4102
151009,1489.10,3205.80
151010,1012,2077
153001,1406,3253
153002,1281,3200
153003,1119,2865
153004,3219,4612
153005,4785.87,2535.37
153006,4454.13,2359.63
155001,1109,4172
155004,2112,7101
157001,2374,5493
157002,2320,4270
157003,2342,4920
157004,3078,4819
157005,2814,5079
157006,2381,5708
157007,2832,5778
157008,1969,4397
157009,2256,5277
157010,2083,4640
159001,2451.52,4708.99
159002,3182,5528
159003,3045,5792
159004,4611,5164
159005,4432,5583
159006,2399,5956
159007,2000,3513
159008,2031,4189
159009,2613.48,2063.01
161001,940,2428
161002,1336,2194
161003,2096,3805
161004,1789,2517
161005,490,1506
161006,1295,2732
163001,4457,6199
163002,2640,6193
163003,3331,6133
165001,1961,3783
165002,1879,2784
165003,2920,2094
165004,2711,2724
165005,3410,3465
167001,2170,3749
167002,1542,3027
167003,1993,4077
167004,1913,4459
167005,2654,4646
167006,2203,4974
167007,3354,5255
167008,3729,3782
169001,2897,1506
169002,1852,3014
169004,1930,4064
169006,4965,2641
169007,2443,4689
169008,2022,2515
169009,719,1863
169010,1871.66,2419.55
169012,1478,4326
169013,202,725
169014,1141.34,1475.45
173001,2275,4330
173002,2545,4064
173003,2382,4269
173004,2220,4913
173005,398,1102
173006,1896,5254
173007,1500,3904
173008,2375,6282
173009,2240,4265
175001,1448,2849
175002,1917,3899
175003,2462,5441
175004,2310,3289
175005,2957,4988
175006,2839,4090
175007,1111,1052
183001,553,1379
183002,1675,2281
183003,3169,2641
183004,4024.42,1537.48
183005,3205.58,2523.52
185001,1671,4860
185002,2123,5378
185003,2036,4638
185004,1724,4069
185005,1444,4003
185006,3278,7765
187001,3299,2746
187002,1337,3250
187003,2259,3742
190001,3015,6795
190002,1065,2689
190003,1250,3761
190004,445,998
190005,1652,3943
190006,2668,5991
190007,3792,2901
201001,828,2490
201002,1676,3577
201003,1261,4360
201004,1210,4129
201005,1262,4840
210001,1443,5126
210002,1041,3453
210003,1479,3376
210004,1585,3516
210005,4221,6054
210007,1709,2652
210008,292,882
210009,1810,2226
217001,2743.54,6712.07
217002,3524,6885
217003,3416,4766
217004,1258,4353
217005,1069,4097
217006,331,1027
217007,375,1361
217008,313,918
217009,1307,3636
217010,1265,3692
217011,1847,4951
217012,826.46,2021.93
219001,2754,6785
219002,1612,4736
219003,176,719
219004,397,1152
219005,549,1860
219006,1644,4739
219007,511,1566
219008,275,873
219009,1121,3280
219010,2616,4662
219011,473,1610
219012,912,3243
219013,345,1189
219014,289,1073
223001,1497,4742
223002,1474,5070
223003,1060,3580
223004,91,326
223005,1819,5205
230001,2062,5034
230003,1711,5215
230004,2005,3654
230005,2207,5485
230006,981,2608
230007,2721,5663
230008,1464,4142
230009,945,2989
230010,1976,5866
240001,219,887
240002,2738,7777
240003,1664.42,4911.73
240004,497,1471
240005,792,2768
240006,397,1134
240007,1365.99,5866.99
240008,1470.67,4697.90
240009,1045.93,3650.37
250001,1912,5674
250002,1528,4692
250003,1315,5394
250004,1512,6729
250005,1765,6562
250006,1639,6501
253001,2853.26,4321.09
253002,6320.96,13550.30
253003,1563.78,5568.61
253004,2117,7010
253005,1365,5888
259001,1859,8080
259002,2160.85,4108.25
259003,2278.67,5428.68
259004,1569,3202
259005,1673,4359
259006,1733,6619
259007,716.33,3343.32
259008,430.15,2132.75
259009,724,2968
259010,262,1044
259011,1481,4807
260001,2130,7443
260002,775,3165
260003,992.54,3154.37
260004,3143.46,7460.63
260005,495,2625
265001,1436,4087
265002,1296,4584
265003,2123,5913
265004,1659,3370
265005,2467,5042
265006,1724,6046
265007,751,3640
265008,558,2158
265009,311,935
265010,2873,4625
265011,853,2694
265013,1269,5509
265014,627,2419
265015,625,2840
265016,430,1988
265017,1187,4960
265018,238,882
265021,1986,3809
269001,861,4055
269004,1785,6438
269005,2114,8002
270001,1028,3556
270002,763,2350
270003,154,434
270004,1212,3859
270005,497,1840
270006,1381,5311
270007,346,1190
270008,1900,6375
270009,236,791
270010,638,2424
270011,675,2204
270012,526,1358
306001,625,3413
306002,665,3223
306003,421,2085
306004,625,2848
306005,241,1059
306006,515,2678
306007,1273,4850
306008,357,1204
306010,346,1137
306011,700,2926
306012,138,533
306013,174,921
316001,3322,7533
316002,2885,7197
316003,1476,4521
316004,729,3301
316005,802,3857
316006,375,1861
316007,994,4044
316008,770,2724
316009,727,3499
316010,533,2797
316011,981,4165
316012,821,3519
316013,548,3084
316014,560,2965
316015,244,707
320001,1421,6163
320002,2010,6670
320003,940,3975
320004,830,3148
320005,766,3349
320006,622,3036
320007,649,2997
326001,604,2886
326002,52,290
326003,748,3685
326004,321,2713
326005,206,1568
326006,82,522
326007,154,1021
326008,412,2769
326009,680,4261
326010,307,1482
326011,198,1221
326012,981,3019
326013,791,2662
326014,220,1458
326015,488,3009
326016,729,3684
326017,160,631
326018,1424,2998
329001,2843,8668
329002,202,659
329003,166,661
329004,1568,4282
329005,284,1051
329006,2059,4146
329008,380,1146
329009,211,1019
329010,236,1138
329011,145,571
329012,168,944
329013,285,1129
329014,155,736
330001,467,2842
330003,212,1581
330004,238,1591
330005,1415,6202
330006,2108,5124
330007,302,2060
330008,365,3162
330009,2273,4866
330010,322,1333
330011,1626,6987
330012,0,0
330013,197,1202
330017,0,0
330019,3191,9882
330021,1040,5395
330022,2907,5782
330024,220,1111
330025,374,2696
336001,1136,4674
336002,1423,5809
336003,1154,4776
336004,743,3090
340001,821,4988
340002,381,1732
340004,332,1512
340005,1129,4301
340006,1120,4009
340008,681,3491
340010,955,4429
350001,910,3325
350002,499,2115
350003,353,1236
350004,310,1149
350005,322,979
350006,1223,3737
350008,579,2337
350009,604,2250
350011,750,2108
350012,822,2388
360001,117,611
360003,399,2072
360008,175,743
360011,396.79,1921.11
360013,1428,5421
360014,0,0
360019,587,2546
360020,1922,6807
360021,941.31,4032.18
360026,92.90,380.71
360027,136,324
360028,0,0
360029,313,2000
360035,429,2071
360036,648,2897
360037,439,1255
370001,604,3775
370002,162,859
370003,315,1758
370004,362,2354
370005,217,791
370006,516,2178
370007,283,1389
370008,671,4470
370009,212,1234
370010,264,1375
370011,601,2695
370012,114,462
370014,613,3387
370020,886,4008
370021,776,3086
370022,2545,7263
370023,1394,4918
370024,1176,5285
370026,573,2994
370027,1265,4824
370028,1376,3728
370029,154,758
370031,370,1603
370032,329,2171
376001,1072,3770
376002,910,3286
376003,1402,2781
376004,1082,3393
376005,387,2457
376006,337,1574
376007,659,2920
376008,510,2398
376009,232,1361
376010,452,2758
376011,407,1895
376012,472,2229
376013,908,4740
376014,302,1274
376015,205,1003
376016,713,2973
376017,592,2592
376018,279,1674
376019,516,2896
376020,247,1064
390001,1460,4302
390002,903,3268
390003,566,2339
390004,535,2345
390005,211,1046
390006,637,3228
390007,264,1813
390008,1088,4310
390009,378,1169
390010,569,1755
390011,269,921
390012,840,3289
390013,264,958
390014,211,595
390015,362,1598
390016,401,1645
390017,295,1726
400001,802,2456
400002,679,2253
400003,501,1613
400004,911,3583
400005,293,1331
400006,976,4359
400007,513,2145
400008,3006,11369
400009,586,2207
410001,1404,5568
410002,1010,5868
410003,579,3853
410004,479,2708
410005,192,1390
410006,600,3304
410007,201,1717
410008,428,2605
410009,334,2383
410010,331,2261
410011,223,1415
411001,0,0
420001,1377,5484
420002,226,1716
420003,95,750
420004,155,782
420005,504,3664
420006,95,645
420007,212,1136
420008,487,2725
420009,161,925
420010,157,874
420011,880,5118
420012,88,704
420013,375,2865
420014,128,596
420015,221,1519
420016,307,1706
420017,437,2170
420018,260,1421
430001,254,1397
430002,219,1216
430003,238,1771
430004,179,858
430005,0,0
430007,1424,6670
430008,283,1650
430009,304,1697
430010,0,0
430011,348,1767
430012,276,1425
430013,171,1319
430014,236,1238
430015,1432,6662
430016,192,942
430017,363,1734
430018,392,2045
430019,438,1886
430020,577,3316
430021,301,1634
430022,621,4081
440001,310,1760
440002,1048,5528
440003,350,1980
440004,446,1806
440005,630,3956
440006,1241,4757
450001,282,1442
450002,2447,7123
450003,1330,5179
450004,403,1966
450005,157,924
450006,407,2579
450007,53,448
450008,61,524
450009,124,796
450010,176,1669
450011,207,1170
450012,133,1174
450013,156,1079
461001,3353,8986
461002,2764,8379
461003,1648,2713
461004,2376,7544
461005,3833,4537
461006,603,2321
461007,2170,4308
461009,884,3049
461011,3138,9029
461012,3481,7385
461013,225,1014
461014,1290,5370
461016,584,3594
461017,1177,5336
461018,1014,4837
461019,911,4188
461020,689,3951
461021,529,2644
461023,2883,9461
461024,1022,4693
461025,2893,6204
461026,1824,9127
461028,768,4683
461029,1416,5221
461030,1980,7104
461031,676,3051
461032,165,797
461033,1022,4426
461035,8260,2684
461036,1258,3423
479001,3261,11097
479002,991,2560
479003,2387,4988
479004,186.65,1034.26
479005,730,3331
479006,0,0
479007,476,2055
479008,142.35,788.74
479009,491,2281
479010,508,3037
479011,406,2417
479014,208,1162
479016,468,1746
479017,354,2206
479019,514,2287
479021,147,1110
479023,201,1381
479025,207,1216
479027,400,1521
480001,787,5023
480002,153,778
480003,458,2827
480004,1080,5553
480005,209,1040
480006,209,1217
480007,250,1128
480008,360,2542
480009,188,1380
480010,639,3844
482001,88.69,810.77
482002,352.37,2096.83
482005,1099.94,4603.40
482007,332.86,1663.34
482011,261.14,1181.66
492001,420,2327
492002,400,1752
492003,188,877
510001,2199.71,7878.66
510002,1887,5059
510003,710.70,3626.72
510004,165.80,1037.02
510005,155.22,1025.10
510006,265.09,1679.95
510007,0,0
510008,246.86,1463.93
510009,370,2544
510010,268.14,1304.07
510011,216.26,1043.79
510012,128.21,822.85
510013,180.59,1350.63
510014,323.53,1849.36
510015,213,1105
510016,122,926
510017,945.72,6196.93
510018,378.17,2128.01
510019,139,1058
510020,570.87,2766.39
510021,137.80,665.64
510022,56.33,456.97
530001,1527,5501
530002,315,2037
530003,233,1898
530004,91,925
530005,182,852
530006,2290,8716
530007,211,1830
540001,966,4621
540002,482,2221
540003,321,3087
540004,263,2149
540005,486,3279
540006,390,2949
540007,357,2134
540008,136,420
540009,3185,6237
540010,2559,5618
540011,1896,5707
540012,902,5152
540013,427,2886
540014,268,1550
540015,562,4054
540016,1581,6404
540017,161,802
550001,259,1612
550002,145,573
550003,69,496
550004,294,1406
550007,118,441
550008,132,987
550012,454,2755
550014,197,1210
550015,135,638
550016,209,769
550017,477,1640
550018,141,633
550019,130,439
550021,119,588
550023,551,3482
550024,147,905
550025,1785,6399
550027,136,964
550029,219,796
550051,123,436
550061,435,3272
550071,114,536
561002,2487,10187
561003,482,2153
561004,814,3589
561005,2828,4100
561006,1422,5115
561007,1680,3635
561008,322,1912
561011,734,3494
561012,364,3092
561015,901,6253
561016,914,6761
561017,234,1359
561020,299,3259
561021,1502,2555
561022,450,2722
561023,509,3271
561024,609,3559
561025,1174,9439
561028,1576,9578
561032,252,1798
561033,313,2484
561035,0,0
561038,281,1353
561040,394,3274
563001,583,2541
563002,97,267
573001,2259,12082
573004,143,990
573005,120,730
573006,141,793
573007,165,1478
573008,165,1001
573009,170,1156
573010,268,1136
573013,328,1928
573014,178,659
573015,338,1348
573018,414,3339
573019,139,430
573022,203,1044
573023,176,1430
573024,107,570
573026,200,1366
573027,149,910
573028,205,1179
573030,874,5022
573031,253,1793
573032,185,1561
573033,153,683
575001,914,4755
575002,96,740
575003,696,3021
575004,145,1023
575005,122,1162
575006,101,479
575007,865,2607
575008,249,726
575009,314,2256
575010,137,615
575011,326,1533
575012,127,348
575013,124,668
575014,1974,7213
575015,100,597
575016,420,3009
575017,260,1262
575018,234,1317
575019,413,1794
580001,140,799
580002,155,783
580003,927,5852
580004,627,3836
580005,267,1696
580006,211,753
580007,406,1862
580008,420,2038
580009,364,1867
580010,189,1119
580011,727,1894
580012,931,2582
580013,365,1830
580014,1059,3228
580015,1343,3790
580016,2118,7252
580017,994,3118
580018,1178,2041
607001,3169,11170
607002,220,1320
607003,1571,8027
607004,132,685
607005,721,4919
607006,3227,7994
607007,325,1585
607008,1471,4841
615001,2257,4378
615002,1952,4720
615003,3088,7429
615004,0,0
615005,1537,4350
615006,1813,8086
615007,1091,4876
615008,569,3200
615009,558,2766
615010,603,3023
615011,927,5672
615012,608,3472
615013,697,4046
615014,244,1643
615015,215,894
615016,571,3095
615017,600,2439
615018,571,3098
615019,266,1525
615020,107,615
615021,1914,944
615022,77,430
621001,1957,5570
621002,2726,3008
621003,2266,3983
621004,1333,7279
621005,940,4366
621006,677,4468
621007,883,5062
621008,1882,4632
621009,2030,6843
621010,1098,5108
621011,664,4249
621012,595,3970
621013,372,2781
621014,1003,6430
621015,1064,5936
630001,578,2782
630002,969,5824
630003,321,1738
630004,353,1995
630005,200,1771
630006,538,3130
630007,105,865
630008,422,1646
630009,5204,10488
630010,251,1067
630011,700,4003
630012,634,3125
630013,1481,1925
630014,848,2145
630015,1299,3197
630016,344,2221
630017,812,5153
630018,479,1954
630019,266,1122
630020,178,1026
630021,197,869
630022,96,399
630023,213,1441
630024,579,3827
630025,305,1571
630026,274,1357
630027,307,1915
630028,238,1411
630029,278,1255
630030,3540,4183
630031,425,1823
630032,1695,7237
630033,623,2009
630034,815,3707
657001,6851,19717
657002,186,1159
657005,500,2919
657006,176,761
657007,746,5701
657008,389,1930
657009,172,808
657011,107,671
657013,397,3813
657014,146,667
657015,592,1387
657016,154,981
657017,1451,7340
657018,105,644
657019,140,799
657020,123,375
657021,150,732
657022,163,816
657023,661,4584
657024,458,4274
657025,223,1145
657026,1106,5044
657027,538,3909
657028,55,443
657029,133,1583
657030,200,1003
661001,2562,15189
661002,559,4997
661003,226,2062
661004,496,4266
661005,3325,10853
661006,695,4972
661007,292,1700
661008,498,2899
661009,218,1728
661010,129,925
665001,988,5769
665002,410,2118
665003,224,1855
665004,299,1645
665005,142,1155
665006,196,1233
665007,123,1842
665008,153,1570
671001,1885,6395
671002,416,1764
671003,151,1545
671004,181,1581
671005,255,1634
671006,217,1969
671007,326,2717
706001,1827,6820
706002,627,3156
706003,478,1752
706004,402,3056
706005,811,4015
706006,1388,6614
706007,617,3085
706008,1647,6652
707001,1348,8580
707002,0,0
707003,360,2167
707004,1454,5415
707005,599,3206
707006,301,1847
707007,375,2729
707008,356,2168
707009,651,3729
707010,253,1551
710001,892,4896
710002,647,3229
710003,417,2014
710004,1159,6509
710005,384,1732
710006,838,4038
710007,768,3633
710008,380,1454
710009,513,3539
710010,538,3246
710011,289,1754
710012,383,2694
710013,173,1065
710014,406,807
727001,2490,10990
727002,101,394
727003,305,1436
727004,250,1106
727005,318,1696
727006,208,946
727007,225,1119
727008,226,1034
727009,0,0
727010,0,0
730001,460,2677
730002,384,2688
730004,118,759
730005,212,1369
730006,153,978
730007,108,1327
730008,290,2391
730009,195,1392
730010,171,1234
730011,681.22,4366.53
730012,380,2553
730013,504,3753
730014,218,2447
730015,132,778
730016,130,1008
730017,147,1158
730021,279,2178
730024,1079.78,4210.47
730025,854,3024
730026,1666,4047
730027,2120,3806
730028,1085,3860
730029,1517,5541
730030,954,3026
730031,1167,6886
730032,723,3488
730033,355,1795
730034,444,3167
730036,439,3946
730037,161,825
740001,401,2945
740002,506,2615
