ValgstedId,Opførelsesår_Antal_boliger_1940-1959,Opførelsesår_Antal_boliger_1960-1969,Opførelsesår_Antal_boliger_1970-1979,Opførelsesår_Antal_boliger_1980-1989,Opførelsesår_Antal_boliger_1990-1999,Opførelsesår_Antal_boliger_2000-2009,Opførelsesår_Antal_boliger_2010-9999,Opførelsesår_Antal_boliger_Før 1940
101001,62,253,163,38,608,55,40,6825
101002,330,503,153,150,3,0,72,3088
101003,282,243,180,68,45,50,0,6759
101005,421,724,1020,213,60,150,90,5698
101006,673,996,197,301,163,80,85,4610
101007,967,1417,935,228,87,185,311,2983
101008,217,580,1307,549,343,93,336,6069
101009,148,516,38,191,27,2185,4574,456
101010,4,245,128,2,117,2169,953,3649
101011,17,129,124,9,58,56,22,7708
101012,0,81,0,0,14,0,0,4033
101013,306,58,655,220,198,631,756,3785
101014,580,515,401,183,61,18,11,7060
101016,1060,325,169,48,156,521,863,4410
101017,901,206,1504,623,233,155,196,7300
101018,588,171,16,11,84,34,29,4940
101019,874,598,178,56,140,418,792,2968
101020,30,148,0,122,55,0,14,4564
101021,726,565,777,483,386,137,167,4473
101022,130,41,331,820,56,11,10,2615
101023,2,60,15,363,170,39,8,4017
101024,235,14,0,316,199,0,0,4025
101025,337,224,767,148,0,12,62,5635
101027,2331,32,251,222,138,815,404,4279
101028,2960,200,202,10,43,162,21,2037
101029,1185,85,101,179,1,194,16,1460
101030,1346,500,19,41,33,437,230,4644
101031,292,22,18,6,4,80,26,2049
101032,685,746,958,0,205,0,0,16
101033,86,222,42,46,80,10,209,4327
101034,1441,102,126,32,10,57,139,3723
101035,2336,125,529,68,410,128,43,1278
101036,2927,193,217,111,53,72,82,1639
101039,1091,74,56,8,36,0,197,1879
101040,557,67,93,110,102,80,105,1943
101041,2144,256,459,246,201,97,112,3879
101042,874,37,115,9,413,9,24,3934
101043,263,138,215,325,93,119,170,4904
101044,1393,1108,86,96,137,27,1132,897
101046,1493,908,169,119,58,2,77,814
101047,342,105,530,204,109,25,835,1168
101048,453,179,15,0,48,442,1401,2830
101049,23,0,0,0,0,0,0,4880
101050,1,37,481,217,15,20,0,4947
101051,2742,453,81,100,144,70,101,3186
101052,24,29,52,0,264,65,49,3866
101053,207,0,181,0,46,137,505,3240
101054,1434,1,0,0,0,0,1,1199
101055,0,0,0,67,0,2351,3810,577
101056,231,164,0,0,282,679,1178,2787
101057,588,1361,925,87,161,1130,762,467
101058,331,21,657,1515,328,85,139,4138
101059,797,347,4,76,85,4,52,2866
147001,200,104,396,350,153,0,0,4270
147002,616,108,549,314,95,32,33,3933
147003,558,439,146,210,152,0,120,6218
147004,558,590,895,100,236,75,354,4581
147005,1452,376,339,371,240,548,301,4222
147006,1458,975,729,25,10,260,262,2977
147007,514,233,334,878,492,463,48,3841
147008,552,0,295,176,20,0,21,4798
151001,188,2112,306,25,13,223,17,4
151002,1838,1937,123,182,36,21,87,219
151003,53.29,880.29,309.29,24.74,11.42,51.39,11.42,63.76
151004,50,351,1218,121,69,5,93,40
151005,287,922,437,142,7,26,85,115
151006,1187,2170,55,45,158,232,67,60
151008,268,217,604,404,152,514,289,63
151009,48.71,539.71,334.71,398.26,614.58,39.61,70.58,28.24
151010,51,118,357,61,294,264,31,67
153001,1143,409,78,39,6,13,30,128
153002,1381,448,127,78,124,107,7,58
153003,1073,618,252,110,12,33,18,12
153004,1452,1966,117,226,20,9,56,77
153005,241.88,372.41,1725.30,34.18,93.23,243.44,28.49,44.03
153006,225.12,346.59,1605.70,31.82,86.77,226.56,26.51,40.97
155001,689,399,150,78,91,169,132,640
155004,417,632,1379,268,241,321,218,284
157001,1423,198,94,71,70,30,108,1367
157002,1181,156,21,88,4,73,36,1365
157003,316,101,57,72,247,22,22,2003
157004,1843,436,195,70,69,129,84,952
157005,578,70,34,27,19,10,78,2202
157006,330,52,223,55,15,6,11,2787
157007,262,79,41,155,156,401,57,2902
157008,294,202,245,97,184,106,31,1927
157009,505,139,110,81,50,32,38,2258
157010,631,229,128,146,50,21,165,2082
159001,1459.19,867.44,312.20,79.73,39.39,99.91,354.47,309.32
159002,2112,856,146,185,35,228,91,798
159003,1097,756,467,283,502,185,155,440
159004,1213,2110,62,136,13,27,33,648
159005,1861,757,74,19,114,867,395,357
159006,1951,510,846,78,38,50,53,284
159007,843,155,50,150,117,116,116,1122
159008,1508,340,255,328,21,28,113,291
159009,124.81,1604.56,118.80,39.27,12.61,8.09,28.53,53.68
161001,681,140,205,2,4,170,24,47
161002,607,159,36,58,101,173,29,522
161003,950,796,206,182,139,114,60,597
161004,975,1261,68,22,0,40,45,21
161005,22,143,384,67,24,56,19,39
161006,3,108,117,856,366,72,189,64
163001,3538,523,207,84,67,44,598,261
163002,1422,1231,245,251,85,105,108,136
163003,125,282,3260,139,346,129,242,53
165001,16,670,2054,41,51,18,7,107
165002,8,1102,816,21,1,2,9,43
165003,319,251,1154,99,21,222,101,175
165004,0,1975,456,97,0,1,91,3
165005,0,904,716,663,156,60,118,2
167001,1109,769,383,156,82,107,42,325
167002,896,558,76,236,42,24,33,356
167003,1586,757,295,89,28,7,21,312
167004,1500,663,80,47,27,14,72,449
167005,1367,677,143,191,24,69,90,472
167006,1053,1638,129,101,52,150,46,157
167007,359,1148,923,162,202,64,282,118
167008,123,136,2017,637,26,207,23,134
169001,139,966,741,16,3,17,0,95
169002,559,836,185,35,50,34,82,355
169004,286,701,1170,22,19,62,24,93
169006,0,10,1700,795,69,406,96,51
169007,236,1920,699,24,13,175,189,159
169008,0,0,0,658,1074,351,83,26
169009,72,197,265,57,30,106,56,205
169010,184.49,103.74,470.87,469.62,35.41,110.57,109.95,250.34
169012,365,661,840,88,20,32,12,287
169013,15,25,48,52,44,33,21,97
169014,112.51,63.26,287.13,286.38,21.59,67.43,67.05,152.66
173001,391,219,122,110,281,93,116,2219
173002,2299,147,75,50,93,262,466,425
173003,438,932,1394,209,67,160,149,172
173004,1130,69,44,232,42,136,290,1493
173005,67,20,22,32,18,1,9,493
173006,1439,265,88,52,79,78,161,566
173007,1782,234,16,5,4,2,73,93
173008,1988,340,37,616,72,78,113,792
173009,1283,581,387,157,261,39,117,322
175001,361,137,118,161,103,25,22,1061
175002,1423,606,71,44,41,135,112,250
175003,1690,464,59,353,466,67,23,643
175004,569,1880,54,346,34,51,8,80
175005,1536,728,448,60,10,3,602,204
175006,997,737,229,110,78,27,306,151
175007,1135,0,0,0,0,0,0,0
183001,69,118,51,88,34,98,73,208
183002,0,44,1369,121,5,1,1,1
183003,5,38,2260,143,13,6,6,17
183004,0,2.93,1955.56,36.14,0,124.05,204.15,0.98
183005,123,412.07,1307.44,200.86,75,173.95,144.85,42.02
185001,115,273,1121,370,158,212,80,56
185002,503,938,672,134,76,84,141,153
185003,813,1541,426,25,8,182,62,194
185004,1330,181,13,26,232,114,93,573
185005,978,120,207,176,18,27,44,478
185006,3604,565,238,654,139,81,43,668
187001,96,1029,113,198,27,584,305,61
187002,122,570,646,210,105,83,78,54
187003,0,740,840,8,280,389,99,1
190001,942,1786,997,214,82,154,118,105
190002,278,421,145,129,26,48,61,233
190003,48,309,239,345,314,431,143,161
190004,40,20,257,97,69,11,85,46
190005,17,224,1143,614,238,69,40,32
190006,395,798,246,178,437,777,442,316
190007,331,566,1624,21,196,26,13,72
201001,119,437,287,9,60,35,213,126
201002,221,783,468,61,339,141,186,170
201003,277,359,897,110,253,202,94,188
201004,141,547,337,238,201,169,120,349
201005,138,101,761,571,184,165,339,92
210001,203,532,439,517,291,354,184,428
210002,125,206,514,155,179,48,49,640
210003,543,641,328,170,52,35,45,456
210004,62,352,863,449,41,244,118,145
210005,138,191,3273,226,18,298,108,81
210007,23,248,835,304,186,128,77,42
210008,53,71,32,18,19,9,8,206
210009,43,196,741,554,219,78,27,79
217001,730.07,842.28,360.43,147.55,205.19,209.80,145.25,2713.57
217002,1837,1117,669,282,163,318,68,571
217003,469,1106,1260,117,93,161,56,385
217004,168,387,525,358,283,190,135,407
217005,340,337,409,264,104,180,101,596
217006,69,91,43,14,19,24,9,237
217007,60,149,71,53,28,55,26,249
217008,52,83,49,20,6,118,31,104
217009,134,138,769,408,91,199,29,473
217010,330,537,280,115,90,100,76,485
217011,175,1190,668,199,459,188,35,160
217012,219.93,253.72,108.57,44.45,61.81,63.20,43.75,817.43
219001,593,366,412,466,223,433,546,1595
219002,385,1067,385,17,273,192,26,507
219003,14,54,49,9,37,56,2,105
219004,77,98,193,121,7,6,16,88
219005,24,318,195,47,81,69,15,156
219006,62,381,217,97,420,894,455,69
219007,35,174,219,37,154,117,38,101
219008,38,84,90,44,19,21,26,100
219009,229,688,463,311,128,44,65,124
219010,467,565,1320,206,279,257,138,311
219011,32,130,226,113,8,119,3,189
219012,122,163,201,130,116,306,41,473
219013,73,119,58,61,21,94,32,101
219014,3,146,87,105,11,60,13,104
223001,458,1198,178,282,277,332,72,389
223002,478,793,857,330,129,106,65,274
223003,279,184,270,187,142,72,88,645
223004,20,23,4,3,3,11,5,91
223005,146,1233,420,859,161,149,173,131
230001,523,758,1101,203,68,276,166,106
230003,706,233,552,114,96,82,149,1028
230004,944,708,334,438,131,74,172,176
230005,726,854,239,175,283,245,161,469
230006,281,416,303,92,68,12,56,219
230007,1081,950,643,298,138,92,145,356
230008,493,516,709,355,116,16,79,216
230009,547,515,332,170,28,35,50,216
230010,339,626,624,222,230,127,252,963
240001,45,86,89,12,26,33,23,142
240002,43,369,1581,817,556,388,316,136
240003,131.24,954.51,867.01,109.37,106.39,177.98,54.69,251.55
240004,19,35,37,510,38,50,23,116
240005,59,307,489,98,114,81,40,207
240006,41,111,247,24,18,62,13,96
240007,36.70,934.72,783.78,108.68,135.20,370.97,224.35,232.70
240008,15.30,323.20,1070.97,388.22,377.71,153.00,7.65,59.29
240009,14.76,106.57,322.24,258.72,201.70,601.06,401.32,59.46
250001,584,703,290,572,383,499,297,657
250002,102,376,736,671,172,299,30,225
250003,163,631,744,315,48,149,309,297
250004,389,436,633,419,175,514,50,1053
250005,259,869,708,469,173,471,224,610
250006,144,534,876,358,307,514,107,485
253001,83.03,133.58,2016.04,449.13,515.07,157.46,64.90,102.03
253002,304.24,1936.97,2268.17,1803.15,1242.33,404.75,157.20,365.19
253003,109.73,712.45,1197.78,468.72,137.60,78.79,40.90,80.78
253004,182,969,1109,255,147,367,380,256
253005,70,477,876,470,114,158,400,265
259001,1199,338,550,123,104,177,379,1809
259002,223.08,1894.66,393.31,278.73,65.68,86.57,163.55,15.94
259003,215.62,443.15,832.11,685.60,207.97,620.62,55.40,385.64
259004,145,406,780,22,9,132,198,97
259005,109,391,687,361,515,117,361,182
259006,234,456,534,1169,111,259,124,643
259007,42.38,111.85,445.89,225.40,156.03,229.38,165.60,258.36
259008,43.92,52.34,451.69,168.27,33.32,92.43,8.45,153.06
259009,46,94,407,249,71,264,96,245
259010,35,48,103,15,7,38,2,275
259011,121,322,505,301,151,589,197,484
260001,551,735,982,522,287,486,112,800
260002,232,334,395,233,77,175,42,331
