ValgstedId,Opførelsesår_Antal_boliger_1970-1979
101001,163
101002,153
101003,180
101005,1020
101006,197
101007,935
101008,1307
101009,38
101010,128
101011,124
101012,0
101013,655
101014,401
101016,169
101017,1504
101018,16
101019,178
101020,0
101021,777
101022,331
101023,15
101024,0
101025,767
101027,251
101028,202
101029,101
101030,19
101031,18
101032,958
101033,42
101034,126
101035,529
101036,217
101039,56
101040,93
101041,459
101042,115
101043,215
101044,86
101046,169
101047,530
101048,15
101049,0
101050,481
101051,81
101052,52
101053,181
101054,0
101055,0
101056,0
101057,925
101058,657
101059,4
147001,396
147002,549
147003,146
147004,895
147005,339
147006,729
147007,334
147008,295
151001,306
151002,123
151003,309.29
151004,1218
151005,437
151006,55
151008,604
151009,334.71
151010,357
153001,78
153002,127
153003,252
153004,117
153005,1725.30
153006,1605.70
155001,150
155004,1379
157001,94
157002,21
157003,57
157004,195
157005,34
157006,223
157007,41
157008,245
157009,110
157010,128
159001,312.20
159002,146
159003,467
159004,62
159005,74
159006,846
159007,50
159008,255
159009,118.80
161001,205
161002,36
161003,206
161004,68
161005,384
161006,117
163001,207
163002,245
163003,3260
165001,2054
165002,816
165003,1154
165004,456
165005,716
167001,383
167002,76
167003,295
167004,80
167005,143
167006,129
167007,923
167008,2017
169001,741
169002,185
169004,1170
169006,1700
169007,699
169008,0
169009,265
169010,470.87
169012,840
169013,48
169014,287.13
173001,122
173002,75
173003,1394
173004,44
173005,22
173006,88
173007,16
173008,37
173009,387
175001,118
175002,71
175003,59
175004,54
175005,448
175006,229
175007,0
183001,51
183002,1369
183003,2260
183004,1955.56
183005,1307.44
185001,1121
185002,672
185003,426
185004,13
185005,207
185006,238
187001,113
187002,646
187003,840
190001,997
190002,145
190003,239
190004,257
190005,1143
190006,246
190007,1624
201001,287
201002,468
201003,897
201004,337
201005,761
210001,439
210002,514
210003,328
210004,863
210005,3273
210007,835
210008,32
210009,741
217001,360.43
217002,669
217003,1260
217004,525
217005,409
217006,43
217007,71
217008,49
217009,769
217010,280
217011,668
217012,108.57
219001,412
219002,385
219003,49
219004,193
219005,195
219006,217
219007,219
219008,90
219009,463
219010,1320
219011,226
219012,201
219013,58
219014,87
223001,178
223002,857
223003,270
223004,4
223005,420
230001,1101
230003,552
230004,334
230005,239
230006,303
230007,643
230008,709
230009,332
230010,624
240001,89
240002,1581
240003,867.01
240004,37
240005,489
240006,247
240007,783.78
240008,1070.97
240009,322.24
250001,290
250002,736
250003,744
250004,633
250005,708
250006,876
253001,2016.04
253002,2268.17
253003,1197.78
253004,1109
253005,876
259001,550
259002,393.31
259003,832.11
259004,780
259005,687
259006,534
259007,445.89
259008,451.69
259009,407
259010,103
259011,505
260001,982
260002,395
260003,235.02
260004,1028.98
260005,279
265001,129
265002,148
265003,489
265004,242
265005,415
265006,589
265007,454
265008,252
265009,110
265010,940
265011,106
265013,528
265014,360
265015,613
265016,305
265017,718
265018,41
265021,1
269001,435
269004,1305
269005,1336
270001,706
270002,293
270003,21
270004,445
270005,295
270006,475
270007,107
270008,965
270009,55
270010,313
270011,312
270012,157
306001,465
306002,376
306003,270
306004,275
306005,151
306006,189
306007,521
306008,128
306010,78
306011,379
306012,41
306013,94
316001,1104
316002,1034
316003,15
316004,535
316005,445
316006,198
316007,270
316008,254
316009,251
316010,268
316011,507
316012,339
316013,292
316014,183
316015,85
320001,655
320002,752
320003,391
320004,229
320005,207
320006,243
320007,296
326001,204
326002,20
326003,468
326004,273
326005,125
326006,44
326007,71
326008,304
326009,526
326010,41
326011,20
326012,309
326013,78
326014,53
326015,322
326016,489
326017,75
326018,495
329001,564
329002,16
329003,19
329004,904
329005,22
329006,187
329008,24
329009,114
329010,125
329011,6
329012,79
329013,111
329014,46
330001,194
330003,18
330004,206
330005,881
330006,463
330007,260
330008,267
330009,1223
330010,89
330011,738
330012,0
330013,70
330017,0
