ValgstedId,Opførelsesår_Antal_personer_1940-1959,Opførelsesår_Antal_personer_1960-1969,Opførelsesår_Antal_personer_1970-1979,Opførelsesår_Antal_personer_1980-1989,Opførelsesår_Antal_personer_1990-1999,Opførelsesår_Antal_personer_2000-2009,Opførelsesår_Antal_personer_2010-9999,Opførelsesår_Antal_personer_Før 1940
101001,125,406,269,87,1172,121,90,13292
101002,642,729,187,313,6,0,149,6352
101003,386,307,268,141,68,120,0,14556
101005,702,1424,1683,428,122,216,171,11108
101006,1212,1663,322,779,281,195,219,8816
101007,1783,2713,1344,500,109,593,731,6492
101008,369,1241,2063,1355,784,229,757,11394
101009,410,778,100,486,64,4980,11203,1167
101010,9,441,193,6,131,4662,2685,7324
101011,33,200,245,12,115,118,33,19527
101012,0,106,0,0,30,0,0,9040
101013,477,87,1161,400,399,1293,2116,7282
101014,873,775,525,252,88,33,23,14145
101016,1489,631,330,119,263,1115,2119,8492
101017,1351,357,2372,1485,577,349,505,13607
101018,1137,256,49,30,203,81,91,9434
101019,1990,1076,397,148,217,977,2066,6487
101020,47,155,0,326,156,0,41,8423
101021,951,851,971,1243,898,153,239,8445
101022,208,61,602,2280,97,11,33,5517
101023,5,80,16,416,362,84,21,8399
101024,330,34,0,850,484,0,0,8294
101025,473,286,1585,440,0,42,163,11119
101027,4156,76,482,696,314,1699,816,7486
101028,5252,289,423,31,106,393,77,4107
101029,2209,145,163,421,2,328,55,2797
101030,2687,965,39,113,33,995,438,8463
101031,801,60,50,22,10,101,89,4261
101032,1952,1833,2310,0,578,0,0,45
101033,167,448,85,103,120,23,440,8682
101034,3346,224,159,76,17,126,385,8315
101035,4950,219,595,134,1095,418,98,2751
101036,6064,543,517,339,113,224,323,4449
101039,1818,89,95,19,73,0,466,3670
101040,1202,179,268,264,118,225,288,5370
101041,4011,520,958,475,331,220,249,7410
101042,1464,118,283,23,1094,29,89,8753
101043,499,204,310,777,213,264,349,9453
101044,2747,2292,229,151,240,76,2852,1973
101046,2621,1977,290,305,142,4,128,2074
101047,664,253,1276,503,120,32,1642,2696
101048,804,226,32,0,49,1213,3289,5482
101049,68,0,0,0,0,0,0,10064
101050,1,37,822,522,16,20,0,10326
101051,4573,835,150,242,352,221,172,5503
101052,33,97,68,0,509,91,106,8365
101053,393,0,293,0,114,299,1253,7017
101054,2116,4,0,0,0,0,199,2149
101055,0,0,0,84,0,5272,9209,1091
101056,384,212,0,0,497,1391,2708,5481
101057,1447,2818,1565,211,421,2223,1761,1428
101058,549,21,1363,4197,620,265,363,7682
101059,1383,750,16,226,245,12,189,6086
147001,365,184,742,572,246,0,0,9808
147002,1006,201,839,575,147,46,61,8985
147003,917,696,235,313,182,0,194,13202
147004,906,1128,1782,232,444,104,428,9552
147005,2233,620,601,654,377,1051,445,8304
147006,2851,1322,1302,50,20,448,289,5856
147007,713,417,469,1645,768,820,71,8181
147008,841,0,476,334,28,0,58,8969
151001,530,4045,819,64,23,385,77,35
151002,3291,3659,217,230,61,32,161,580
151003,147.51,2251.63,693.76,63.76,36.16,82.79,35.21,152.27
151004,131,800,2801,204,109,16,280,100
151005,804,2401,1026,282,17,87,285,281
151006,2397,4283,141,82,203,357,148,148
151008,632,571,1266,878,416,1169,629,202
151009,133.49,1475.37,867.24,735.24,1059.84,96.21,234.79,92.73
151010,137,324,1031,141,488,693,90,185
153001,2624,1149,226,91,16,54,120,379
153002,2371,893,300,181,246,196,29,265
