Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Opførelsesår_Antal_personer_1940-1959
,101001,1,1,1,125
,101002,1,1,1,642
,101003,1,1,1,386
,101005,1,1,1,702
,101006,1,1,1,1212
,101007,2,1,1,1783
,101008,2,1,1,369
,101009,2,1,1,410
,101010,2,1,1,9
,101011,3,1,1,33
,101012,3,1,1,0
,101013,3,1,1,477
,101014,3,1,1,873
,101016,4,1,1,1489
,101017,4,1,1,1351
,101018,4,1,1,1137
,101019,4,1,1,1990
,101020,5,1,1,47
,101021,5,1,1,951
,101022,5,1,1,208
,101023,5,1,1,5
,101024,5,1,1,330
,101025,5,1,1,473
,101027,6,1,1,4156
,101028,6,1,1,5252
,101029,6,1,1,2209
,101030,6,1,1,2687
,101031,7,1,1,801
,101032,7,1,1,1952
,101033,7,1,1,167
,101034,7,1,1,3346
,101035,7,1,1,4950
,101036,7,1,1,6064
,101039,7,1,1,1818
,101040,7,1,1,1202
,101041,7,1,1,4011
,101042,8,1,1,1464
,101043,8,1,1,499
,101044,8,1,1,2747
,101046,8,1,1,2621
,101047,8,1,1,664
,101048,8,1,1,804
,101049,9,1,1,68
,101050,9,1,1,1
,101051,9,1,1,4573
,101052,9,1,1,33
,101053,9,1,1,393
,101054,9,1,1,2116
,101055,9,1,1,0
,101056,1,1,1,384
,101057,2,1,1,1447
,101058,5,1,1,549
,101059,6,1,1,1383
,147001,10,1,1,365
,147002,10,1,1,1006
,147003,10,1,1,917
,147004,10,1,1,906
,147005,11,1,1,2233
,147006,11,1,1,2851
,147007,11,1,1,713
,147008,11,1,1,841
,151001,20,2,1,530
,151002,20,2,1,3291
,151003,20,2,1,147.51
,151004,20,2,1,131
,151005,20,2,1,804
,151006,20,2,1,2397
,151008,20,2,1,632
,151009,20,2,1,133.49
,151010,20,2,1,137
,153001,18,2,1,2624
,153002,18,2,1,2371
,153003,18,2,1,1965
,153004,18,2,1,2565
,153005,18,2,1,540.22
,153006,18,2,1,502.78
,155001,12,1,1,1581
,155004,12,1,1,1034
,157001,13,2,1,3040
,157002,13,2,1,2264
,157003,13,2,1,721
,157004,13,2,1,3657
,157005,13,2,1,1395
,157006,13,2,1,643
,157007,13,2,1,459
,157008,13,2,1,544
,157009,13,2,1,1095
,157010,13,2,1,1151
,159001,15,2,1,3145.09
,159002,15,2,1,3910
,159003,15,2,1,2643
,159004,15,2,1,2658
,159005,15,2,1,4182
,159006,15,2,1,4797
,159007,15,2,1,1388
,159008,15,2,1,3211
,159009,15,2,1,312.91
,161001,20,2,1,1722
,161002,20,2,1,1123
,161003,20,2,1,1791
,161004,20,2,1,1814
,161005,20,2,1,71
,161006,20,2,1,8
,163001,16,2,1,6547
,163002,16,2,1,3296
,163003,16,2,1,345
,165001,19,2,1,45
,165002,19,2,1,20
,165003,19,2,1,529
,165004,19,2,1,0
,165005,19,2,1,0
,167001,17,2,1,2477
,167002,17,2,1,1691
,167003,17,2,1,2992
,167004,17,2,1,2952
,167005,17,2,1,3113
,167006,17,2,1,2336
,167007,17,2,1,1050
,167008,17,2,1,331
,169001,19,2,1,296
,169002,19,2,1,1203
,169004,19,2,1,670
,169006,19,2,1,0
,169007,19,2,1,603
,169008,19,2,1,0
,169009,19,2,1,193
,169010,19,2,1,511.86
,169012,19,2,1,900
,169013,19,2,1,35
,169014,19,2,1,312.14
,173001,14,2,1,723
,173002,14,2,1,4170
,173003,14,2,1,980
,173004,14,2,1,2071
,173005,14,2,1,125
,173006,14,2,1,3573
,173007,14,2,1,4414
,173008,14,2,1,4691
,173009,14,2,1,2933
,175001,16,2,1,775
,175002,16,2,1,3005
,175003,16,2,1,3265
,175004,16,2,1,1041
,175005,16,2,1,3314
,175006,16,2,1,2530
,175007,16,2,1,2163
,183001,18,2,1,146
,183002,18,2,1,0
,183003,18,2,1,9
,183004,18,2,1,0
,183005,18,2,1,342
,185001,12,1,1,283
,185002,12,1,1,1383
,185003,12,1,1,1833
,185004,12,1,1,2805
,185005,12,1,1,2712
,185006,12,1,1,6585
,187001,18,2,1,269
,187002,18,2,1,359
,187003,18,2,1,0
,190001,25,3,1,2046
,190002,25,3,1,732
,190003,25,3,1,145
,190004,25,3,1,93
,190005,25,3,1,45
,190006,25,3,1,1099
,190007,25,3,1,746
,201001,26,3,1,300
,201002,26,3,1,501
,201003,26,3,1,683
,201004,26,3,1,309
,201005,26,3,1,371
,210001,22,3,1,459
,210002,22,3,1,278
,210003,22,3,1,1160
,210004,22,3,1,174
,210005,22,3,1,326
,210007,22,3,1,70
,210008,22,3,1,122
,210009,22,3,1,94
,217001,21,3,1,1274.94
,217002,21,3,1,3807
,217003,21,3,1,1144
,217004,21,3,1,435
,217005,21,3,1,756
,217006,21,3,1,196
,217007,21,3,1,161
,217008,21,3,1,115
,217009,21,3,1,282
,217010,21,3,1,748
,217011,21,3,1,399
,217012,21,3,1,384.06
,219001,23,3,1,1208
,219002,23,3,1,834
,219003,23,3,1,38
,219004,23,3,1,213
,219005,23,3,1,70
,219006,23,3,1,177
,219007,23,3,1,91
,219008,23,3,1,110
,219009,23,3,1,565
,219010,23,3,1,1149
,219011,23,3,1,75
,219012,23,3,1,336
,219013,23,3,1,219
,219014,23,3,1,3
,223001,22,3,1,990
,223002,22,3,1,927
,223003,22,3,1,679
,223004,22,3,1,44
,223005,22,3,1,385
,230001,26,3,1,1262
,230003,26,3,1,1911
,230004,26,3,1,2205
,230005,26,3,1,1633
,230006,26,3,1,656
,230007,26,3,1,2457
,230008,26,3,1,1063
,230009,26,3,1,1148
,230010,26,3,1,836
,240001,25,3,1,118
,240002,25,3,1,122
,240003,25,3,1,337.06
,240004,25,3,1,47
,240005,25,3,1,156
,240006,25,3,1,103
,240007,25,3,1,107.48
,240008,25,3,1,54.50
,240009,25,3,1,37.95
,250001,24,3,1,1158
,250002,24,3,1,274
,250003,24,3,1,409
,250004,24,3,1,869
,250005,24,3,1,623
,250006,24,3,1,376
,253001,35,5,2,208.44
,253002,35,5,2,775.24
,253003,35,5,2,264.32
,253004,35,5,2,472
,253005,35,5,2,172
,259001,34,5,2,2298
,259002,34,5,2,476.65
,259003,34,5,2,616.64
,259004,34,5,2,401
,259005,34,5,2,270
,259006,34,5,2,562
,259007,34,5,2,105.36
,259008,34,5,2,114.35
,259009,34,5,2,149
,259010,34,5,2,76
,259011,34,5,2,285
,260001,24,3,1,1160
,260002,24,3,1,505
,260003,24,3,1,703.13
,260004,24,3,1,2321.87
,260005,24,3,1,289
