ValgstedId,Opførelsesår_Antal_personer_1970-1979
101001,269
101002,187
101003,268
101005,1683
101006,322
101007,1344
101008,2063
101009,100
101010,193
101011,245
101012,0
101013,1161
101014,525
101016,330
101017,2372
101018,49
101019,397
101020,0
101021,971
101022,602
101023,16
101024,0
101025,1585
101027,482
101028,423
101029,163
101030,39
101031,50
101032,2310
101033,85
101034,159
101035,595
101036,517
101039,95
101040,268
101041,958
101042,283
101043,310
101044,229
101046,290
101047,1276
101048,32
101049,0
101050,822
101051,150
101052,68
101053,293
101054,0
101055,0
101056,0
101057,1565
101058,1363
101059,16
147001,742
147002,839
147003,235
147004,1782
147005,601
147006,1302
147007,469
147008,476
151001,819
151002,217
151003,693.76
151004,2801
151005,1026
151006,141
151008,1266
151009,867.24
151010,1031
153001,226
153002,300
153003,549
153004,302
153005,4621.16
153006,4300.84
155001,355
155004,3350
157001,195
157002,61
157003,120
157004,349
157005,90
157006,287
157007,84
157008,338
157009,205
157010,244
159001,497.60
159002,269
159003,931
159004,172
159005,123
159006,1209
159007,97
159008,527
159009,314.40
161001,528
161002,88
161003,320
161004,104
161005,978
161006,158
163001,320
163002,696
163003,6323
165001,3549
165002,1744
165003,2226
165004,569
165005,2039
167001,636
167002,169
167003,330
167004,176
167005,373
167006,383
167007,2210
167008,4307
169001,2102
169002,391
169004,3024
169006,4179
169007,1297
169008,0
169009,671
169010,1141.75
169012,2195
169013,142
169014,696.25
173001,206
173002,135
173003,2326
173004,125
173005,69
173006,247
173007,41
173008,99
173009,627
175001,220
175002,220
175003,154
175004,150
175005,768
175006,565
175007,0
183001,164
183002,3557
183003,5286
183004,4817.58
183005,3052.42
185001,3057
185002,1835
185003,806
185004,33
185005,483
185006,454
187001,339
187002,1736
187003,2203
190001,2105
190002,421
190003,656
190004,548
190005,2835
190006,547
190007,4165
201001,743
201002,1068
201003,2423
201004,835
201005,1891
210001,978
210002,1310
210003,708
210004,1810
210005,7672
210007,2018
210008,88
210009,1699
217001,611.73
217002,1475
217003,2792
217004,1341
217005,892
217006,96
217007,155
217008,124
217009,1812
217010,732
217011,1613
217012,184.27
219001,1016
219002,1044
219003,126
219004,447
219005,486
219006,512
219007,525
219008,238
219009,983
219010,2629
219011,621
219012,491
219013,180
219014,232
223001,377
223002,1803
223003,679
223004,10
223005,1197
230001,2371
230003,940
230004,621
230005,644
230006,722
230007,1418
230008,1741
230009,577
230010,1378
240001,219
240002,4273
240003,1971.65
240004,97
240005,1315
240006,596
240007,2162.75
240008,2826.58
240009,867.01
250001,591
250002,1831
250003,1937
250004,1372
250005,1502
250006,2269
253001,4283.10
253002,5755.84
253003,3153.06
253004,2613
253005,2167
259001,1361
259002,856.28
259003,1986.27
259004,2121
259005,1563
259006,1182
259007,1129.73
259008,1182.72
259009,1058
259010,297
259011,1156
260001,2218
260002,875
260003,578.82
260004,2470.18
260005,669
265001,173
265002,321
265003,986
265004,496
265005,846
265006,1466
265007,1182
265008,678
265009,299
265010,1708
265011,278
265013,1344
265014,971
265015,1556
265016,797
265017,1807
265018,100
265021,2
269001,1112
269004,2961
269005,3228
270001,1656
270002,659
270003,39
270004,1103
270005,749
270006,1125
270007,212
270008,2320
270009,135
270010,811
270011,723
270012,296
306001,985
306002,817
306003,486
306004,585
306005,285
306006,408
306007,942
306008,261
306010,145
306011,698
306012,68
306013,214
316001,2647
316002,2289
316003,22
316004,1402
316005,1207
316006,379
316007,690
316008,556
316009,588
316010,615
316011,1157
316012,738
316013,632
316014,423
316015,151
320001,1586
320002,1840
320003,855
320004,491
320005,537
320006,636
320007,691
326001,445
326002,37
326003,904
326004,577
326005,235
326006,82
326007,128
326008,665
326009,1096
326010,99
326011,40
326012,608
326013,144
326014,142
326015,793
326016,1156
326017,138
326018,1179
329001,1338
329002,36
329003,43
329004,1963
329005,58
329006,443
329008,61
329009,287
