Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_18-29 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_30-49 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_50-59 år_Modtog ikke ydelser;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_0 - 3 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_3 - 6 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_6 - 9 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_9 - 12 mdr.;Personer fordelt efter samlet ydelsesvarighed alder og afstemningsområde_60- år_Modtog ikke ydelser
;101001;1;1;1;344;128;81;83;3413;641;224;158;301;3307;164;58;27;218;1424;53;48;31;1767;519
;101002;1;1;1;185;55;42;48;1512;298;119;70;189;1655;62;33;15;141;743;36;35;12;1368;354
;101003;1;1;1;289;104;42;45;3089;662;229;177;253;3470;178;61;46;185;1555;77;44;10;1696;588
;101005;1;1;1;376;140;66;109;3512;690;269;170;386;3155;147;53;34;272;1156;73;47;18;2237;482
;101006;1;1;1;371;134;83;148;2764;581;219;157;392;2612;133;54;26;259;1028;54;33;11;1744;433
;101007;2;1;1;314;96;83;164;2350;596;206;157;488;2575;160;61;32;428;1054;69;47;29;2267;421
;101008;2;1;1;513;211;137;178;4324;799;305;270;682;3460;177;64;56;508;1086;74;50;23;2072;449
;101009;2;1;1;528;208;125;169;5001;959;348;241;403;4822;110;39;15;160;868;29;27;10;900;276
;101010;2;1;1;253;91;44;61;2112;874;294;215;290;4231;119;55;29;154;1321;63;39;13;1414;511
;101011;3;1;1;429;197;120;184;5290;687;276;257;568;4759;165;68;48;289;1730;86;43;29;1810;673
;101012;3;1;1;149;48;21;28;1512;317;99;77;104;1996;75;25;17;75;1034;36;30;8;1318;467
;101013;3;1;1;221;92;44;46;2427;517;203;155;221;2630;144;49;26;197;1233;65;52;24;2184;648
;101014;3;1;1;287;101;67;66;4253;472;169;143;204;3482;134;47;31;148;1648;73;55;16;2460;776
;101016;4;1;1;440;166;101;139;3315;740;281;199;389;3148;98;47;26;236;891;53;38;12;1660;291
;101017;4;1;1;614;274;140;182;5690;949;343;245;672;4301;175;72;40;509;1209;76;55;24;1809;399
;101018;4;1;1;345;117;73;85;2227;544;157;122;312;2488;123;30;23;197;883;45;40;15;1231;335
;101019;4;1;1;208;80;40;115;2103;624;205;149;262;3033;133;52;33;171;1171;82;44;14;1448;451
;101020;5;1;1;240;111;64;79;1794;485;208;136;346;1875;65;27;23;238;445;21;13;16;1260;149
