Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr
;101001;1;1;1
;101002;1;1;1
;101003;1;1;1
;101005;1;1;1
;101006;1;1;1
;101007;2;1;1
;101008;2;1;1
;101009;2;1;1
;101010;2;1;1
;101011;3;1;1
;101012;3;1;1
;101013;3;1;1
;101014;3;1;1
;101016;4;1;1
;101017;4;1;1
;101018;4;1;1
;101019;4;1;1
;101020;5;1;1
;101021;5;1;1
;101022;5;1;1
;101023;5;1;1
;101024;5;1;1
;101025;5;1;1
;101027;6;1;1
;101028;6;1;1
;101029;6;1;1
;101030;6;1;1
;101031;7;1;1
;101032;7;1;1
;101033;7;1;1
;101034;7;1;1
;101035;7;1;1
;101036;7;1;1
;101039;7;1;1
;101040;7;1;1
;101041;7;1;1
;101042;8;1;1
;101043;8;1;1
;101044;8;1;1
;101046;8;1;1
;101047;8;1;1
;101048;8;1;1
;101049;9;1;1
;101050;9;1;1
;101051;9;1;1
;101052;9;1;1
;101053;9;1;1
;101054;9;1;1
;101055;9;1;1
;101056;1;1;1
;101057;2;1;1
;101058;5;1;1
;101059;6;1;1
;147001;10;1;1
;147002;10;1;1
;147003;10;1;1
;147004;10;1;1
;147005;11;1;1
;147006;11;1;1
;147007;11;1;1
;147008;11;1;1
;151001;20;2;1
;151002;20;2;1
;151003;20;2;1
;151004;20;2;1
;151005;20;2;1
;151006;20;2;1
;151008;20;2;1
;151009;20;2;1
;151010;20;2;1
;153001;18;2;1
;153002;18;2;1
;153003;18;2;1
;153004;18;2;1
;153005;18;2;1
;153006;18;2;1
;155001;12;1;1
;155004;12;1;1
;157001;13;2;1
;157002;13;2;1
;157003;13;2;1
;157004;13;2;1
;157005;13;2;1
;157006;13;2;1
;157007;13;2;1
;157008;13;2;1
;157009;13;2;1
;157010;13;2;1
;159001;15;2;1
;159002;15;2;1
;159003;15;2;1
;159004;15;2;1
;159005;15;2;1
;159006;15;2;1
;159007;15;2;1
;159008;15;2;1
;159009;15;2;1
;161001;20;2;1
;161002;20;2;1
;161003;20;2;1
;161004;20;2;1
;161005;20;2;1
;161006;20;2;1
;163001;16;2;1
;163002;16;2;1
;163003;16;2;1
;165001;19;2;1
;165002;19;2;1
;165003;19;2;1
;165004;19;2;1
;165005;19;2;1
;167001;17;2;1
;167002;17;2;1
;167003;17;2;1
;167004;17;2;1
;167005;17;2;1
;167006;17;2;1
;167007;17;2;1
;167008;17;2;1
;169001;19;2;1
;169002;19;2;1
;169004;19;2;1
;169006;19;2;1
;169007;19;2;1
;169008;19;2;1
;169009;19;2;1
;169010;19;2;1
;169012;19;2;1
;169013;19;2;1
;169014;19;2;1
;173001;14;2;1
;173002;14;2;1
;173003;14;2;1
;173004;14;2;1
;173005;14;2;1
;173006;14;2;1
;173007;14;2;1
;173008;14;2;1
;173009;14;2;1
;175001;16;2;1
;175002;16;2;1
;175003;16;2;1
;175004;16;2;1
;175005;16;2;1
;175006;16;2;1
;175007;16;2;1
;183001;18;2;1
;183002;18;2;1
;183003;18;2;1
;183004;18;2;1
;183005;18;2;1
;185001;12;1;1
;185002;12;1;1
;185003;12;1;1
;185004;12;1;1
;185005;12;1;1
;185006;12;1;1
;187001;18;2;1
;187002;18;2;1
;187003;18;2;1
;190001;25;3;1
;190002;25;3;1
;190003;25;3;1
;190004;25;3;1
;190005;25;3;1
;190006;25;3;1
;190007;25;3;1
;201001;26;3;1
;201002;26;3;1
;201003;26;3;1
;201004;26;3;1
;201005;26;3;1
;210001;22;3;1
;210002;22;3;1
;210003;22;3;1
;210004;22;3;1
;210005;22;3;1
;210007;22;3;1
;210008;22;3;1
;210009;22;3;1
;217001;21;3;1
;217002;21;3;1
;217003;21;3;1
;217004;21;3;1
;217005;21;3;1
;217006;21;3;1
;217007;21;3;1
;217008;21;3;1
;217009;21;3;1
;217010;21;3;1
;217011;21;3;1
;217012;21;3;1
;219001;23;3;1
;219002;23;3;1
;219003;23;3;1
;219004;23;3;1
;219005;23;3;1
;219006;23;3;1
;219007;23;3;1
;219008;23;3;1
;219009;23;3;1
;219010;23;3;1
;219011;23;3;1
;219012;23;3;1
;219013;23;3;1
;219014;23;3;1
;223001;22;3;1
;223002;22;3;1
;223003;22;3;1
;223004;22;3;1
;223005;22;3;1
;230001;26;3;1
;230003;26;3;1
;230004;26;3;1
;230005;26;3;1
;230006;26;3;1
;230007;26;3;1
;230008;26;3;1
;230009;26;3;1
;230010;26;3;1
;240001;25;3;1
;240002;25;3;1
;240003;25;3;1
;240004;25;3;1
;240005;25;3;1
;240006;25;3;1
;240007;25;3;1
;240008;25;3;1
;240009;25;3;1
;250001;24;3;1
;250002;24;3;1
;250003;24;3;1
;250004;24;3;1
;250005;24;3;1
;250006;24;3;1
;253001;35;5;2
;253002;35;5;2
;253003;35;5;2
;253004;35;5;2
;253005;35;5;2
;259001;34;5;2
;259002;34;5;2
;259003;34;5;2
;259004;34;5;2
;259005;34;5;2
;259006;34;5;2
;259007;34;5;2
;259008;34;5;2
;259009;34;5;2
;259010;34;5;2
;259011;34;5;2
;260001;24;3;1
;260002;24;3;1
;260003;24;3;1
;260004;24;3;1
;260005;24;3;1
;265001;36;5;2
;265002;36;5;2
;265003;36;5;2
;265004;36;5;2
;265005;36;5;2
;265006;36;5;2
;265007;36;5;2
;265008;36;5;2
;265009;36;5;2
;265010;36;5;2
;265011;36;5;2
;265013;36;5;2
;265014;36;5;2
;265015;36;5;2
;265016;36;5;2
;265017;36;5;2
;265018;36;5;2
;265021;36;5;2
;269001;35;5;2
;269004;35;5;2
;269005;35;5;2
;270001;23;3;1
;270002;23;3;1
;270003;23;3;1
;270004;23;3;1
;270005;23;3;1
;270006;23;3;1
;270007;23;3;1
;270008;23;3;1
;270009;23;3;1
;270010;23;3;1
;270011;23;3;1
;270012;23;3;1
;306001;38;5;2
;306002;38;5;2
;306003;38;5;2
;306004;38;5;2
;306005;38;5;2
;306006;38;5;2
;306007;38;5;2
;306008;38;5;2
;306010;38;5;2
;306011;38;5;2
;306012;38;5;2
;306013;38;5;2
;316001;37;5;2
;316002;37;5;2
;316003;37;5;2
;316004;37;5;2
;316005;37;5;2
;316006;37;5;2
;316007;37;5;2
;316008;37;5;2
;316009;37;5;2
;316010;37;5;2
;316011;37;5;2
;316012;37;5;2
;316013;37;5;2
;316014;37;5;2
;316015;37;5;2
;320001;33;5;2
;320002;33;5;2
;320003;33;5;2
;320004;33;5;2
;320005;33;5;2
;320006;33;5;2
;320007;33;5;2
;326001;38;5;2
;326002;38;5;2
;326003;38;5;2
;326004;38;5;2
;326005;38;5;2
;326006;38;5;2
;326007;38;5;2
;326008;38;5;2
;326009;38;5;2
;326010;38;5;2
;326011;38;5;2
;326012;38;5;2
;326013;38;5;2
;326014;38;5;2
;326015;38;5;2
;326016;38;5;2
;326017;38;5;2
;326018;38;5;2
;329001;39;5;2
;329002;39;5;2
;329003;39;5;2
;329004;39;5;2
;329005;39;5;2
;329006;39;5;2
;329008;39;5;2
